steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100058	236	881.9032971858978	145.2	132.0	72.00123455731699	264.0	44.0	0.025525117217368224	0.09420861422502802
200699	454	2070.412088871002	426.8	374.0	176.06110050522548	660.0	220.0	0.10869657204022888	0.08734128181481367
300308	681	3228.9960350990295	105.6	132.0	59.39547307852865	176.0	0.0	0.2046743159438378	0.10754043810986619
400165	907	4428.916663169861	198.0	176.0	110.24417344140133	440.0	88.0	0.29424926689137293	0.0983978095423778
500316	1128	5640.005683422089	352.0	352.0	176.0	616.0	132.0	0.36999769135662564	0.09277853698127672
600386	1352	6889.484931468964	409.2	462.0	190.15829663145854	616.0	44.0	0.4207840378791273	0.09484290688270823
700238	1578	8154.334572553635	490.4	462.0	187.3530238761989	900.0	220.0	0.48175019921602247	0.0962476768903219
800140	1805	9445.559200763702	524.8	550.0	182.1823262558693	804.0	176.0	0.6028596940047621	0.09078265701328021
900687	2036	10764.083731174469	519.6	616.0	189.17787044648395	708.0	176.0	0.557330050563999	0.12057167194613534
1000405	2247	12147.396061897278	606.0	572.0	166.86654681045104	996.0	440.0	0.5946429953487692	0.07880785994744517
1100152	2460	13490.963013887405	264.0	242.0	151.00257540114268	528.0	44.0	0.6089912970469159	0.13243297773794893
1200122	2682	14857.62832069397	566.0	550.0	164.0514824342922	852.0	308.0	0.7086401314710592	0.10270928491819563
1300833	2891	16222.596526145935	653.2	684.0	217.57491685496387	948.0	308.0	0.6752377060457795	0.14923947546615882
1400045	3108	17609.48795247078	612.8	660.0	118.4312271132726	804.0	396.0	0.853950095134452	0.15288999588042815
1500393	3328	18971.850810289383	494.0	506.0	183.99275348049264	804.0	176.0	0.9369332053130884	0.14653230903202466
1600158	3544	20334.94321489334	764.0	708.0	231.4552992600419	1236.0	440.0	1.0323760559292086	0.1557291011005121
1700641	3741	21725.41213440895	1072.8	1116.0	271.7175003565284	1380.0	708.0	1.0346731353482312	0.1644148627402602
1800032	3921	23123.79973435402	1474.8	1260.0	769.2283001669775	3224.0	756.0	1.2835554986549087	0.15300048174145015
1900043	4056	24647.873020887375	3012.0	3112.0	1364.695163356597	5472.0	1332.0	1.3982659734103797	0.18689636381954466
2000207	4178	26133.80869626999	3607.4	3975.0	1260.2599555470908	5070.0	1188.0	1.3761345809712158	0.1878461922840331
2104114	4262	27712.161105394363	2935.8	2412.0	1936.900720222903	6372.0	660.0	1.40299763201784	0.19423001972346898
2200146	4324	29226.093706846237	4955.4	5058.0	1758.9262002078933	7966.0	1380.0	1.4697798460472575	0.21380130519743162
2300586	4390	30774.017967939377	4062.2	4871.0	2200.0895840346543	7374.0	996.0	1.2871865037333716	0.22396459691218387
2402217	4452	32393.314271450043	6066.4	5735.0	1464.962282411697	8224.0	3964.0	1.3947250099923676	0.22202742490403532
2501114	4515	33952.244624614716	5639.4	5527.0	1611.1668787283058	7920.0	2664.0	1.4408554373112146	0.252601797501126
2600366	4573	35578.04511451721	5587.2	5151.0	2793.8343544312	11790.0	2664.0	1.777119488503583	0.22785025647439944
2700443	4638	37163.76190137863	6094.2	5993.0	2396.586359340672	8820.0	1140.0	1.708060011965289	0.2244783255898563
2801555	4696	38717.700555086136	4279.2	3544.0	2121.8411711425424	8300.0	2160.0	1.8191829268605335	0.20312307516168693
