steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
101342	226	1142.4550004005432	546.4	572.0	149.64491304417936	756.0	220.0	0.3599494012024401	0.11002101709471682
200185	447	2558.3348259925842	277.2	286.0	163.3869299818345	616.0	44.0	0.4803394679930373	0.09518282188567186
300080	680	4009.8285830020905	594.0	660.0	223.97023611780799	900.0	264.0	0.538038289412507	0.10275181044286504
400051	903	5546.085415363312	506.0	528.0	128.2809416865966	660.0	308.0	0.5912372468166153	0.10861924548348093
500014	1126	7091.615344047546	391.6	396.0	123.49646868545585	528.0	220.0	0.7648561162996239	0.11901777631833775
600561	1316	8640.176606178284	444.4	440.0	144.37543650727665	660.0	220.0	0.7567103632792613	0.12995777695924202
700369	1516	10238.714638233185	723.2	660.0	291.44726986388315	1236.0	396.0	0.8177305902825863	0.11726715431475293
800037	1728	11832.475705862045	444.4	484.0	187.1940169984073	660.0	176.0	0.8673571831443616	0.12637128368244796
900060	1967	13421.490683794022	559.6	528.0	118.87547172473293	756.0	396.0	0.860433601291284	0.14019819599080044
1000227	2191	15106.788100481033	1001.6	1044.0	441.48114342517505	1536.0	264.0	0.9905075644582625	0.15579427769347182
1100006	2390	16763.472323656082	1246.8	1164.0	359.5753050474963	2160.0	948.0	1.063981547857534	0.1671433596851291
1200114	2563	18456.794743061066	1690.0	1484.0	591.1322469070126	2860.0	756.0	1.253631869480025	0.1710070317468465
1300414	2676	20257.17250609398	3087.6	3248.0	1285.4418349778068	4704.0	1284.0	1.2863529101676408	0.2072783934543284
1400976	2760	22150.332235097885	5417.2	5248.0	1127.6560547337906	7560.0	3900.0	1.4946058716463217	0.21598918732482228
1500220	2828	23995.735445976257	4697.0	4829.0	1190.8160600566694	6810.0	2160.0	1.3727519340953926	0.2221474965745383
1600127	2896	25875.075600147247	5947.4	5979.0	1453.5122366950413	8900.0	3600.0	1.556789863562586	0.2396884294427396
1701538	2963	27792.726539611816	6296.8	5586.0	2053.1939779551058	10170.0	3600.0	1.7623605848237611	0.23017242095145518
1801225	3020	29743.93202495575	6732.8	5987.0	2020.3491887405119	10510.0	5182.0	1.841952502101637	0.22548336802627328
1902198	3079	31653.919557332993	6610.2	6385.0	1849.4781125736224	9440.0	3360.0	1.8284734083742027	0.22095296384587348
2000218	3137	33536.46532869339	7084.6	6909.0	2532.9722637425166	11250.0	3000.0	2.0007879219676847	0.24336948278227544
2101016	3192	35530.78964805603	7269.2	6479.0	2435.0379782573323	12072.0	4348.0	2.1499297630902374	0.2709802438538181
2200999	3248	37456.03221678734	6357.0	5903.0	2413.230246417076	10580.0	2832.0	2.027540804704349	0.2397407338438978
2300033	3307	39334.08135676384	8949.0	8869.0	1722.72245781689	11932.0	6156.0	2.0703264896103706	0.21944776279050582
2402648	3359	41206.213522434235	8201.2	8889.0	1928.0954794246518	10520.0	5054.0	2.003109028177273	0.26260275602046
2500131	3416	42989.478751420975	8026.0	7968.0	1997.9309297370617	12216.0	4640.0	2.0535196059297403	0.2208735847013084
2602219	3473	44814.80035281181	7138.0	6401.0	2270.0057758125245	10260.0	4320.0	2.1477939148153347	0.21243581319072144
2704165	3521	46635.64520263672	7914.0	7786.0	2263.6108813623914	10980.0	4732.0	2.071733405970283	0.20298646319882438
2802813	3579	48412.42414999008	7336.6	6355.0	2110.1901020208265	11050.0	4832.0	2.0963089005314215	0.21234795965177825
2901793	3635	50123.70876646042	6034.0	6182.0	1954.9269949426641	9136.0	2160.0	2.2099935006904072	0.21325378713627927
3000266	3691	51911.22991347313	8929.4	9207.0	3168.9541282048667	13596.0	4734.0	2.2746238279318933	0.20749913761862265
3100588	3757	53669.76756477356	6698.4	6726.0	1931.3552639417626	10670.0	3420.0	2.1593280143229623	0.19218332774354216
3200623	3821	55410.92927789688	6709.4	7614.0	2574.4995716535755	10010.0	1588.0	2.4237313103318154	0.17703615535740463
3301333	3878	57203.43303656578	7520.4	7123.0	2942.4541231201324	11680.0	2004.0	2.3489091549406167	0.18701545547732495
3400586	3934	58988.54646849632	8115.2	7458.0	3529.291046214365	13856.0	2580.0	2.2169187937139423	0.18879648400093327
3502068	3995	60803.29466176033	7276.6	7001.0	2998.8643850631192	12836.0	3930.0	2.2944055394321436	0.16926773143361468
3600383	4055	62572.17108440399	7303.8	8043.0	2467.8990525005947	10454.0	3000.0	2.268241733422488	0.1960725093594119
3702445	4116	64366.461908340454	7336.6	6597.0	2755.397458726337	12170.0	4478.0	2.3876448113645825	0.1882390721524777
3802362	4172	66182.66185903549	7825.8	7836.0	1852.491763364505	11358.0	5154.0	2.23809159660018	0.18896267852149526
3900790	4229	68059.97870254517	9290.0	10315.0	3313.740149404865	13278.0	4704.0	2.057465643259189	0.18869550516850872
4003718	4284	69962.06833076477	9177.0	7839.0	5091.1800203882	18110.0	1952.0	2.480352563951859	0.19536839960791566
4100119	4338	71732.78759217262	8105.0	7073.0	3377.7762902043505	14652.0	4860.0	2.310897810837411	0.15975026863243175
4202979	4404	73620.63812351227	7167.0	7883.0	2589.412159802555	10070.0	2004.0	2.131989375863455	0.20612187939487558
4302362	4470	75499.4686203003	7945.4	8283.0	2287.9877719175956	11160.0	4384.0	2.3474916192859823	0.18843573267581193
4401375	4523	77412.34382486343	9253.8	9094.0	2189.316169238443	12900.0	6572.0	2.1309123252436724	0.1735163509892736
4503095	4588	79387.07361745834	10966.6	12100.0	3672.985470522129	17042.0	6052.0	2.5417120651938903	0.1699987219919303
4600313	4652	81237.57041621208	9511.0	8185.0	3947.11644396542	18150.0	5312.0	2.5803888932123855	0.18524442880022604
