steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100316	225	925.4758138656616	521.2	506.0	194.6853872277013	756.0	264.0	0.23723043865328644	0.11313850364821489
200216	445	2128.2795066833496	489.2	550.0	203.7955402412482	756.0	132.0	0.36085693201148766	0.09073494721197928
300294	676	3319.5762591362	286.0	286.0	123.14760790747555	528.0	88.0	0.5422660901864946	0.068577869550379
400161	912	4526.946498632431	338.8	352.0	127.9451271270444	528.0	88.0	0.6518131071649074	0.11085189492829728
500108	1141	5776.843079090118	652.8	616.0	213.03145307676988	1140.0	440.0	0.741300580299417	0.10587761384616984
600091	1365	7061.77134013176	623.6	660.0	177.07198787185084	948.0	264.0	0.767015894133566	0.11454597368756353
700510	1589	8390.808225631714	515.6	550.0	178.46207191196427	756.0	220.0	0.9145430782609699	0.15637924124856367
800142	1800	9707.01301407814	374.4	308.0	173.45841640641777	708.0	220.0	1.1243378607905221	0.10953292850316715
900253	2012	11058.373547792435	409.2	374.0	139.21749570765562	660.0	264.0	1.1750713592513191	0.14698616866854108
1000694	2204	12452.423114299774	453.6	418.0	173.00687205362038	708.0	176.0	1.1702440025715257	0.11865109881169791
1100468	2419	13821.475855112076	717.6	660.0	246.20280709655248	1236.0	352.0	1.2286286391328776	0.14437811106677212
1200135	2635	15184.04623246193	650.8	616.0	305.59261189440497	1380.0	352.0	1.2151483431263002	0.16413691044760204
1300340	2825	16583.786605358124	1024.8	924.0	299.5035892940183	1380.0	660.0	1.3053827338111468	0.2072363302601437
1400553	2996	17977.502915620804	1164.8	1092.0	612.029919384847	2608.0	572.0	1.454910037297304	0.18748921479854166
1500692	3111	19482.433942079544	2992.8	2970.0	1614.6925954427913	5926.0	708.0	1.5398613126630367	0.1981584310170165
1601135	3186	21071.472561120987	5027.4	5022.0	1134.1362058118652	7248.0	3180.0	1.6972178374229903	0.21764871142058426
1700791	3251	22637.978493213654	5698.8	5820.0	1098.6659385110856	7260.0	4092.0	1.820302726189542	0.20128389538088212
1800162	3304	24205.14465022087	5531.0	4754.0	2692.948528616501	12090.0	3000.0	1.930080538985732	0.24618843303339374
1903082	3360	25847.45370388031	5418.8	4973.0	1892.7818915260386	8630.0	2944.0	2.0721871030711143	0.222310187389517
2002324	3411	27496.37323451042	7194.0	7104.0	1689.9275461128832	10910.0	4768.0	2.043168212732284	0.24584947670432153
2100226	3472	29170.452966928482	9023.8	9495.0	2547.9358879078745	13164.0	5538.0	2.1453299229775804	0.24850509887564326
2200885	3529	30802.145508766174	7295.4	7720.0	2196.372575154063	10542.0	3480.0	2.086751375609115	0.2508711155260785
2300980	3582	32391.05893445015	6328.6	6191.0	1249.048722472871	8782.0	4080.0	2.2948989572058216	0.25644276662102167
2401052	3636	33980.27971482277	7213.8	7421.0	2502.8578243457796	12720.0	3420.0	2.411310953025184	0.25068890105744573
2502441	3695	35641.60440707207	7976.8	8165.0	1807.7370015205936	10430.0	5268.0	2.4846034395202388	0.24782280179401892
2601633	3756	37264.5268433094	8488.6	8840.0	2826.1740215351215	13290.0	3464.0	2.4685870647219503	0.21050904612552715
2700045	3813	38835.583122968674	6727.2	6120.0	3382.4046935739534	12000.0	1692.0	2.607349243765198	0.23032325990077668
