steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100703	240	972.1737146377563	555.6	660.0	193.82879043114312	756.0	132.0	0.482791976529151	0.20996259217900518
200328	476	2199.674897670746	453.6	396.0	141.549520192287	708.0	308.0	0.8977442651938706	0.17729293354260184
300100	712	3429.208828687668	564.8	528.0	111.91742988074338	852.0	440.0	1.275768158602129	0.17958393591423286
400197	943	4682.566699028015	343.2	374.0	103.29332558839953	484.0	176.0	1.682377608236442	0.17877123272856446
500204	1169	5942.925290346146	325.6	264.0	155.49433716019658	660.0	176.0	2.0666506354235925	0.19739999949142115
600338	1388	7205.11711025238	303.6	286.0	106.67416640301333	484.0	132.0	2.2536663221138644	0.1873749114998175
700584	1594	8508.513345479965	959.6	972.0	318.5659534015942	1380.0	440.0	2.6313776708929417	0.21566315345322756
800458	1759	9794.145607709885	746.0	660.0	240.37932985642135	1092.0	396.0	2.667938900813526	0.24430990219933862
902746	1873	11250.319218158722	2416.4	2056.0	993.8986310931758	3720.0	1380.0	2.952424848498547	0.27976535603254005
1000044	1938	12715.936815738678	3849.0	3098.0	2895.4441225253627	8094.0	528.0	3.0226164235251165	0.27144452539637426
1103848	1986	14332.068010091782	6015.2	6094.0	1846.5194165119292	9360.0	3000.0	3.2662538640927994	0.23042716987482026
1201193	2029	15913.574450492859	6324.0	6089.0	2128.713121948459	9910.0	3308.0	3.552820890061928	0.22375489863705555
1302325	2074	17531.152628421783	5344.8	5055.0	2432.919453386541	9720.0	1380.0	3.433194845697498	0.21628996410969026
1400525	2122	19108.539450645447	5665.6	5425.0	1388.128652379006	7912.0	3420.0	3.3578221406949305	0.20908726521692841
1500011	2170	20660.21040701866	4797.2	4920.0	1918.8258446826858	7860.0	1484.0	3.7725209617200552	0.21300173358112862
1600503	2226	22251.66548848152	4496.2	4125.0	2089.971281036071	7320.0	1744.0	3.735983126260897	0.19540891922489448
1703386	2283	23782.78982591629	4468.6	4470.0	1310.4411640529477	6096.0	1380.0	3.749776729797804	0.19830972624107823
