steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100073	2960	830.764899969101	5.5	5.5	5.797509043642029	11.0	0.0	0.07200865371873613	0.12548627742922486
200007	5895	1934.7988963127136	1.0	0.0	1.4142135623730951	3.0	0.0	0.09232337533446952	0.04443562915057708
300072	8734	3042.163954257965	0.9	1.0	0.5676462121975467	2.0	0.0	0.14045877350987174	0.0689960176420332
400006	11647	4187.909478902817	0.4	0.0	0.966091783079296	3.0	0.0	0.12197914441727996	0.06770701156291609
500015	14201	5352.281913995743	2.9	2.0	2.3309511649396115	9.0	1.0	0.1977040082940668	0.08141678696407317
600084	16407	6533.918534040451	4.6	5.0	3.470510689285432	11.0	1.0	0.25341538105832345	0.0729163389070401
700051	18037	7738.5658304691315	10.7	12.0	2.359378449224852	13.0	8.0	0.5202775724086989	0.07809501240744501
800032	19315	8968.492944955826	5.8	6.0	5.493430419854044	11.0	0.0	0.570649713301389	0.09018039012560024
900023	20453	10212.549700737	12.1	12.5	2.998147576235848	16.0	8.0	0.6853950842101579	0.11414097353406454
1000033	21431	11488.059430599213	12.4	12.5	4.948624949305503	23.0	5.0	0.7615396558416193	0.13611121065210038
1100035	22304	12786.497258424759	14.2	12.5	4.962078417580905	26.0	9.0	0.7687244613535188	0.1553037068151371
1200085	23119	14091.548273563385	16.3	14.5	7.46919600016554	35.0	10.0	0.9300272562109553	0.18563584683574458
1300118	23858	15406.517758369446	22.9	21.0	6.008327554319921	33.0	16.0	1.1256328326864171	0.21111369384045564
1400188	24537	16730.531142950058	23.6	23.0	11.93687098400954	43.0	7.0	1.0930652070653026	0.19215520569859912
1500014	25154	18051.803809165955	32.0	30.5	9.614803401237305	53.0	19.0	1.2399788588783456	0.21952717510045427
1600201	25692	19375.252962112427	31.8	32.5	7.583608053631933	46.0	22.0	1.139148991283144	0.271650791444106
1700073	26200	20698.35239839554	47.5	43.0	23.740495174092537	109.0	30.0	1.40290401040603	0.26107372476448937
1800118	26691	22038.339844226837	45.1	47.0	15.314843924912994	71.0	29.0	1.3406083990778377	0.24060339186498078
1900078	27138	23359.94538283348	38.4	37.0	14.645439183885504	69.0	19.0	1.434461006322183	0.2312259250188262
2000164	27589	24691.601070165634	51.8	49.0	16.376134396669375	77.0	27.0	1.6709869876770842	0.268645715291962
2100046	28037	26035.493072748184	62.1	66.5	15.102979838429237	77.0	37.0	1.579579540340417	0.2620788579490673
2200284	28448	27384.06756734848	62.0	59.0	20.37972849017703	104.0	32.0	1.6857770812725943	0.24927549113696948
2300158	28853	28734.04380607605	67.5	67.5	28.249877089211477	114.0	23.0	1.4815801896188048	0.2236007724070616
2400190	29263	30082.24972510338	55.8	56.5	12.15456018675021	74.0	35.0	1.6607737750510794	0.3294386588504918
2500031	29644	31451.60602092743	144.5	124.5	74.20429756946545	257.0	50.0	2.7509572490211087	0.2758102515588663
2600579	30027	32821.06053376198	69.0	64.0	17.441967269268172	104.0	48.0	1.9025481879699395	0.292601041963554
2700018	30396	34177.57140135765	78.1	81.5	24.69120401186535	108.0	36.0	2.2420816405305986	0.249696775946274
2800047	30769	35546.51981163025	87.4	86.5	22.450934155273906	126.0	47.0	2.3476793328643355	0.4186846643207854
2900515	31142	36936.60191965103	93.4	85.0	35.861461828046615	178.0	60.0	2.3061009858217005	0.5342569629487373
3000441	31527	38309.24431300163	86.6	90.5	24.441312930728124	118.0	46.0	2.1209089992654713	0.3317807231920347
3100344	31892	39717.71533417702	114.0	90.5	57.613655788652515	249.0	63.0	4.009065820512912	0.4006884436672768
3200182	32267	41122.10244631767	147.3	128.0	79.73295707826497	290.0	66.0	3.772662289174942	0.5966124680937954
