steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100006	2987	1028.5149247646332	2.0	0.0	4.242640687119285	11.0	0.0	-0.032304742122031375	0.11226536592157767
200020	6104	2408.5845232009888	1.1	0.0	1.449137674618944	3.0	0.0	0.07091147900135487	0.05627156850970672
300100	9254	3781.8698239326477	0.7	1.0	0.48304589153964794	1.0	0.0	0.13960507844587494	0.06137153835518575
400013	12263	5221.704688549042	3.3	0.0	5.313504806936128	11.0	0.0	0.1836976525200339	0.06914348617825981
500054	15061	6692.428262472153	1.5	0.0	2.5495097567963922	7.0	0.0	0.2177890861732026	0.07397328028136287
600017	17164	8175.037171125412	4.0	0.5	5.033222956847166	11.0	0.0	0.19761449732357436	0.10071593795911779
700150	18716	9706.978089809418	11.8	12.0	3.22490309931942	19.0	7.0	0.5094452006814886	0.10357510133021505
800171	19749	11252.535690784454	12.5	12.5	2.758824226207808	19.0	9.0	0.5939968340345324	0.12674643547285416
900009	20648	12808.435831546783	15.6	16.5	5.501514942874069	23.0	7.0	0.9425279740509764	0.1204529622262471
1000031	21449	14406.224557161331	15.5	15.0	5.9113826169894	29.0	9.0	0.5934360105991565	0.146656135522474
1100144	22196	16021.6400141716	20.5	20.0	7.575545451575675	31.0	10.0	0.8761997161174667	0.18240251254530473
1200114	22857	17638.310616493225	22.7	22.5	8.11103500725332	38.0	10.0	0.8978635404836737	0.1727629894343877
1300393	23454	19263.22997879982	25.9	24.0	8.359292899389144	39.0	16.0	1.1147898343634486	0.25161366365375326
1400128	23993	20889.56765270233	36.1	31.0	16.50218840706354	65.0	15.0	1.2287888179316115	0.2264002161873742
1500548	24474	22535.798070192337	54.1	53.5	18.952865511872105	93.0	32.0	1.6079875438791777	0.27237443806773054
1600096	24924	24169.450125455856	69.0	67.5	25.84569596664017	125.0	37.0	1.6673049986502557	0.2669081138223019
1700214	25322	25830.319468975067	55.8	58.5	17.145132124179025	85.0	32.0	1.289315619072844	0.28219910552786964
1800134	25705	27490.858500480652	55.2	55.0	20.433088633662585	87.0	19.0	1.5094156731025083	0.27720579052034555
1900317	26112	29139.226964235306	92.6	79.5	52.60587208456654	233.0	45.0	1.9704219761562416	0.3258686356817119
2000156	26486	30799.19859981537	77.3	77.5	29.866555059315278	119.0	30.0	1.5674257489474395	0.29802173991418557
2100302	26859	32459.0226252079	101.4	83.0	67.77446257830289	277.0	35.0	2.023686751420484	0.31867684977355987
2200328	27216	34123.310861349106	128.5	109.0	69.50499582364166	288.0	48.0	2.1351020991300196	0.42948407808071537
2300428	27577	35790.18377041817	86.1	79.5	33.64339129424645	168.0	54.0	2.208145986707836	0.33090379458734653
2400485	27937	37471.85671758652	202.0	213.0	85.61022784171942	340.0	102.0	2.498413511093771	0.38775968982374437
2500155	28272	39149.48808860779	137.1	136.0	51.457533731979204	264.0	76.0	2.414167413028054	0.4066043526219217
2600033	28606	40829.782046318054	201.5	210.0	73.55761158590063	293.0	105.0	2.283669804703974	0.46104095589787447
2700056	28946	42511.46381568909	207.0	224.0	63.49978127696364	319.0	103.0	3.1673403543121657	0.38402521456361904
2800063	29281	44168.76092815399	213.9	214.0	86.44773629836186	368.0	110.0	2.778733534928238	0.5258389149135246
2900067	29604	45837.92164802551	292.3	310.0	64.87946088281286	372.0	171.0	3.418760668739052	0.6856576196654572
3000333	29917	47486.642994880676	270.8	268.5	61.180606949152335	379.0	166.0	4.635139416328407	0.744119874282768
3100094	30227	49088.220620155334	217.7	226.5	75.61018449917974	359.0	98.0	4.588790096027748	0.7089737512483845
3200176	30552	50668.145969867706	275.3	264.5	65.07781666760359	358.0	155.0	4.167429730320956	0.8835550788599835
3300008	30867	52240.257095098495	266.1	259.5	76.58031368729462	382.0	177.0	5.227866764093512	0.9699439548336509
3400635	31161	53831.28381681442	296.9	290.5	52.1652289471743	392.0	241.0	4.226045483801873	0.9294220057379654
3500615	31461	55436.280814647675	298.3	311.0	76.50715289725821	408.0	196.0	4.8221661128535835	0.9295325958809707
3600194	31761	57049.240569114685	283.7	279.0	86.6038875185943	421.0	115.0	4.265912077045556	1.0347364693354137
3700195	32060	58669.856640815735	325.4	357.0	89.33980076091507	414.0	181.0	4.391445183200333	1.225646438791264
3800035	32339	60314.31018948555	359.1	373.5	59.187930451326906	436.0	269.0	4.366149939373942	1.064972378448457
