steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100094	2983	854.4650049209595	1.8	0.0	3.794733192202055	9.0	0.0	0.15591166131519266	0.1517707995201757
200020	5831	1977.8308727741241	0.0	0.0	0.0	0.0	0.0	0.2346142194493717	0.08142804297484699
300012	8972	3130.0823979377747	0.3	0.0	0.9486832980505139	3.0	0.0	0.07234153171258623	0.06095620587043498
400044	11920	4298.78795170784	1.2	0.0	1.5491933384829668	3.0	0.0	0.1705293589688364	0.06297614703695933
500071	14588	5477.961934566498	1.9	2.0	0.7378647873726218	3.0	0.0	0.3716177198297726	0.07817022369604995
600028	16656	6693.182703971863	5.5	2.0	4.743416490252569	11.0	1.0	0.4414794173765706	0.08803661357564216
700010	18102	7927.93151807785	13.6	13.0	4.2998707990925595	25.0	10.0	0.5156524680955067	0.0910443504583337
800023	19176	9191.69475030899	12.7	12.5	2.94580681270476	18.0	8.0	0.5697331316155027	0.12004048520846655
900046	20141	10473.838369607925	14.9	15.0	4.976611966656298	22.0	6.0	0.6344731291715585	0.12213333748511286
1000093	21003	11789.009889125824	13.5	12.0	5.01663898109747	23.0	8.0	0.7615794573112415	0.16403287280517306
1100051	21779	13112.793518543243	16.9	16.0	3.7844711945293255	24.0	12.0	0.9397466941887462	0.16364998243494852
1200150	22471	14456.397256851196	32.0	31.0	7.086763875156433	44.0	23.0	1.0208256661266788	0.19066495499315095
1300067	23098	15790.995377779007	25.0	25.0	9.333333333333334	40.0	12.0	1.2270688948063673	0.17953394022126362
1400383	23651	17142.53564429283	35.7	35.0	10.122033173012008	51.0	22.0	0.998283067750478	0.23535470587735266
1500255	24124	18492.631229639053	45.5	47.5	11.815714583177401	66.0	27.0	1.2273425803793592	0.281015348716145
1600304	24572	19850.830912828445	45.5	43.0	28.93767248568704	108.0	17.0	1.1824739823112305	0.28420453890744274
1700218	25013	21216.01127552986	51.9	51.5	13.261891938097587	77.0	32.0	1.2037750477986113	0.2385244990565583
1800146	25434	22591.415256261826	75.4	71.5	17.481418706729727	105.0	52.0	1.763234261391113	0.23487107702642498
1900097	25858	23964.313160419464	69.4	71.0	11.53930481249003	92.0	50.0	1.7838501512671452	0.30783437765406535
2000085	26249	25344.22021508217	72.3	69.0	27.26026819791438	106.0	26.0	1.3693965717238095	0.25758588887175565
2100434	26631	26713.823491573334	71.7	75.0	14.142528455375691	93.0	44.0	2.0150601165108974	0.3000276612654919
2200181	27011	28090.8287358284	101.8	100.0	22.6215236739998	141.0	63.0	1.6750012393407878	0.2622188533187357
2300414	27382	29466.680765151978	78.9	77.5	16.59618430041476	107.0	59.0	1.8717322381227772	0.3209347712077478
2400089	27738	30844.11582183838	102.6	92.0	45.823817193924626	225.0	67.0	1.9500129017590588	0.2671352152953656
2500691	28093	32244.48491048813	103.6	92.5	48.992516435335986	230.0	52.0	2.2577780461109023	0.29177510053462463
