steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100061	2950	832.8612380027771	1.8	0.0	3.794733192202055	9.0	0.0	0.2649328852246708	0.2214071527561437
200050	5890	1924.665287733078	1.3	1.0	0.9486832980505138	3.0	0.0	0.17305475424548525	0.06373954641073964
300001	8743	3033.5665147304535	1.7	1.0	1.888562063228706	5.0	0.0	0.21156773940128784	0.050614246316664474
400056	11381	4136.841034412384	3.1	3.0	1.852925614624973	8.0	1.0	0.5028074759129094	0.0825346572945421
500087	13532	5253.433650970459	4.2	5.0	2.8205594401741574	9.0	0.0	0.3795332148418957	0.096262780355017
600045	15127	6386.558449983597	11.5	11.5	3.6285901761795403	18.0	6.0	0.5759180588174864	0.10863109241273128
700025	16332	7511.698241710663	11.1	10.0	5.087020520675907	21.0	4.0	0.656843259831854	0.13399327343647102
800068	17356	8640.391469717026	17.0	16.5	5.436502143433364	29.0	10.0	0.7680394196572695	0.1703522380671816
900133	18196	9769.06698846817	18.8	18.5	4.589843860815601	28.0	12.0	1.0772550724699916	0.16844992382354965
1000111	18935	10902.513139247894	22.4	19.0	8.058122196475637	39.0	14.0	1.010907874193667	0.19694444940834147
1100233	19583	12048.525873661041	23.3	20.5	10.122033173012008	49.0	13.0	1.3650225474456712	0.1942407303792803
1200075	20182	13200.095139741898	32.1	31.5	9.374314789774118	49.0	17.0	1.5308455499555909	0.20034720907327205
1300047	20759	14357.032657146454	38.7	36.5	11.72888173129334	59.0	20.0	1.2577433985338864	0.22007950077573266
1400032	21288	15512.62954211235	36.7	37.0	12.238827104297572	55.0	21.0	1.6968361259134868	0.25652508251394157
1500066	21784	16665.298773527145	42.5	41.5	13.509256086106296	64.0	25.0	1.678769503452279	0.28324005060683805
1600078	22245	17834.777157068253	44.5	46.5	13.41847813858023	62.0	24.0	1.693718176198864	0.27262182349252423
1700242	22706	19007.079290390015	63.3	62.5	29.265261925285337	117.0	14.0	1.4996046474363856	0.2678130208467007
1800006	23121	20182.104320526123	61.5	58.5	22.877694134000677	93.0	29.0	1.6136274568953168	0.3178981701294043
1900309	23531	21362.000965356827	60.5	60.0	18.374196883431697	96.0	36.0	1.5620529463423232	0.3041792604584194
