steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100047	2958	802.6055228710175	1.8	0.0	3.794733192202055	9.0	0.0	0.2520669378830847	0.12502405120466945
200007	5824	1824.862967967987	0.0	0.0	0.0	0.0	0.0	0.2247646118753424	0.09378609670132562
300006	8762	2876.767929792404	0.7	1.0	0.6749485577105528	2.0	0.0	0.16745256033398842	0.0676822523963969
400006	11618	3946.9384202957153	0.7	0.0	1.1595018087284057	3.0	0.0	0.16532047576991657	0.07200780505481455
500019	14227	5029.302304029465	2.3	0.0	3.8600518131237567	9.0	0.0	0.37132328562562983	0.095330154154202
600004	16472	6138.039326667786	4.3	2.5	3.560586718193756	9.0	1.0	0.23067211133929524	0.10544760904759413
700091	18048	7275.253235578537	9.3	8.5	4.270050741306634	18.0	5.0	0.504857144219169	0.10958767038124029
800049	19278	8434.932609558105	12.3	12.5	3.8311588035185618	19.0	6.0	0.7298219353120815	0.10890118524738787
900004	20329	9619.65928196907	15.9	16.0	1.911950719959998	19.0	13.0	0.8584800615966216	0.13536286797822156
1000055	21224	10821.492683410645	13.8	13.0	2.859681411936962	19.0	10.0	1.0428076322990052	0.18415455692694485
1100028	22036	12029.520052433014	20.5	19.5	7.090682462060882	35.0	13.0	1.0574356805794232	0.22095833199144752
1200032	22771	13255.457309246063	22.4	23.5	7.82020175926143	38.0	11.0	1.3015901896316455	0.2860990563075199
1300184	23389	14488.77302312851	26.6	25.5	11.918239989379492	57.0	12.0	1.3030538721127423	0.2767661625841458
1400186	23968	15728.7923579216	37.3	37.0	9.369572502995474	52.0	24.0	1.7074528916506133	0.3038412554551856
1500092	24507	16951.24587416649	31.6	32.0	12.877197762798481	52.0	10.0	1.8077369153765155	0.4124834590860743
1600046	25017	18187.34145641327	34.5	33.5	10.65885130354632	54.0	17.0	1.846767739792401	0.33915496231003256
1700131	25507	19428.658091783524	53.3	57.5	19.67542178003364	78.0	23.0	2.406700997896021	0.43751306235291076
1800263	25958	20675.784512996674	56.8	54.5	20.69245702611891	102.0	31.0	2.5429450525791806	0.4305048786766349
1900389	26387	21929.046999931335	71.4	61.0	32.84373777618971	144.0	39.0	2.508403588693849	0.4772453619273356
2000199	26816	23174.05783057213	56.3	55.0	12.11106014260427	81.0	39.0	2.340777230185477	0.43800627840118606
2100473	27242	24428.397902965546	65.1	65.5	19.980268044025614	108.0	45.0	2.815991397886154	0.41752562017332445
2200006	27649	25675.06226873398	85.0	78.5	22.325869399520467	126.0	59.0	2.394363481675406	0.34544838876527817
2300195	28036	26940.266496419907	76.7	76.0	28.27268017794642	142.0	41.0	1.8510928841124625	0.4958616943921498
2400644	28421	28217.509262561798	98.7	95.5	21.684864152983142	143.0	69.0	2.8477383334501245	0.3835849024435378
2500237	28794	29494.847627401352	96.5	89.0	49.36766823201868	223.0	54.0	3.3260571939667654	0.43222536449140686
2600081	29178	30776.255693674088	96.2	105.5	35.404958849165624	143.0	45.0	2.8955457462469654	0.5074459439977752
2700158	29544	32059.38640642166	164.0	159.0	57.68496819411064	250.0	83.0	2.155995595561759	0.5052535269468958
2800032	29918	33337.11779880524	153.2	154.0	43.013692910255656	216.0	94.0	2.7381734577001486	0.4183648103506481
2900060	30272	34592.96836590767	125.9	113.5	46.741487638570796	214.0	60.0	3.1072656603423416	0.45115482694961667
3000005	30611	35842.1756772995	131.8	114.0	65.72636879940619	264.0	66.0	3.3791886275810334	0.45257060611090766
3100400	30957	37092.0667283535	242.9	241.0	73.92105398478989	372.0	106.0	4.907488651221864	0.5557223650465205
3200409	31293	38315.494965314865	193.4	213.0	77.514443098618	276.0	67.0	4.760559472991576	0.520300612813079
3300480	31621	39507.222685575485	182.2	182.5	50.95924297362005	264.0	121.0	3.8882772814565696	0.7065322170850128
3400307	31956	40698.92110276222	220.3	232.0	53.61394926281364	293.0	116.0	5.894915684951849	0.8571266925398209
3500025	32301	41902.242814302444	278.7	301.0	63.75831100509346	353.0	175.0	7.266981345937549	0.7668754075019172
3600446	32637	43088.106085538864	242.6	241.5	67.74494651099651	372.0	115.0	5.123737138707296	0.7278198313723319
3700560	32966	44293.213319540024	228.8	237.5	83.43700218328397	378.0	78.0	4.866736976552128	0.805492487854356
3800083	33292	45486.57667636871	257.4	255.0	64.26542184133272	360.0	173.0	6.582825069030815	1.0334235530276508
3900790	33622	46693.08557510376	213.4	218.5	64.70995114955487	323.0	97.0	5.298037320326283	1.1688764430837817
4000019	33949	47884.22550082207	227.1	254.5	56.38449353422545	285.0	110.0	5.0626204527887175	0.950273570940163
4100097	34291	49082.65678024292	229.0	250.0	89.08921870175362	351.0	79.0	6.355000464658093	0.8882543786899879
4200492	34626	50290.000346422195	195.3	212.5	67.3169121890381	277.0	74.0	7.497543014583118	1.1596800291002667
4300408	34969	51504.04755949974	233.3	234.0	64.932529084684	317.0	95.0	6.547632645206946	1.4529577291995288
4400406	35307	52707.68216872215	191.9	244.5	97.45819616635637	273.0	43.0	6.217897634423663	1.5210096022624473
4500649	35651	53928.70846700668	212.3	189.0	105.81855539869493	413.0	53.0	5.926174445156389	1.8720499889046194
4600160	35994	55158.02837896347	288.8	289.5	43.16583010772397	351.0	214.0	6.665151868925725	1.4632709290228503
4700003	36341	56369.18109178543	240.4	227.0	110.17783604498482	392.0	22.0	5.443026350981099	1.4365128914770713
4800081	36685	57577.4692428112	223.4	238.5	117.97852912006208	366.0	75.0	6.013009788656581	1.564549028072389
4900476	37037	58792.741414785385	157.2	106.0	134.54763716493378	384.0	29.0	4.573794444213354	1.432794096946329
5000191	37406	60037.619527339935	308.0	294.5	45.96133640838182	387.0	248.0	7.413107635041664	1.4500033482952106
5100028	37765	61265.22793197632	100.7	79.0	82.91635678334055	330.0	47.0	4.6881854904214375	1.5409582542151554
5200275	38128	62502.80343127251	305.7	329.5	82.68151748325216	370.0	82.0	6.239762160992484	1.7911287567647485
5300147	38486	63729.82580113411	286.3	317.0	104.38821772594837	404.0	117.0	7.602371681809694	1.507722962491091
5400089	38853	64952.32150673866	336.8	352.0	52.670463998124966	396.0	260.0	7.150463954180995	1.431060455706584
5500295	39191	66176.17247581482	241.2	304.5	132.723438439151	405.0	36.0	7.1802096311550505	1.5912943322065998
5600846	39517	67394.83049750328	132.5	118.0	99.26199899480388	339.0	22.0	6.148844691306023	1.7184234859324192
5700134	39858	68609.82570171356	233.6	207.5	118.54506878539206	385.0	89.0	8.439055810221161	1.519322979801164
5800035	40209	69869.85249567032	357.4	386.5	100.36289708408736	488.0	104.0	7.7207013194816385	1.7610247730934008
5900566	40552	71120.15282607079	301.8	331.0	123.66783467552642	423.0	85.0	7.511725427201901	1.6639783887685138
6000730	40896	72358.99867630005	273.1	286.0	101.76274148997538	402.0	91.0	6.769681883658728	1.540160235358345
6100328	41258	73574.88977861404	242.2	298.0	114.62092110760389	357.0	47.0	6.6425335407156405	1.742890853409589
6200195	41596	74813.36957359314	340.7	385.5	89.8159228644899	407.0	126.0	7.777868102745409	1.3431573191406958
6300291	41940	76058.81129670143	302.9	334.0	90.38000024587544	429.0	124.0	8.362776663050385	1.4397759623698958
6400095	42277	77291.64871287346	225.0	235.5	116.26980118098881	393.0	73.0	6.001152093756935	1.6182626423370188
6500068	42637	78533.27980613708	365.4	381.0	109.60454167394504	464.0	73.0	8.663264229778381	1.6235650590942117
6600394	42972	79749.44595193863	95.4	86.0	46.20293400976946	192.0	45.0	6.080602238854137	1.6971495033255597
6700425	43331	80984.9538052082	293.5	352.0	119.09496677488562	430.0	106.0	8.082736078634062	1.4111117643051365
6800492	43667	82225.71079349518	276.2	337.0	116.14244128081116	392.0	140.0	7.792137467518374	1.7326288975826272
6900311	43991	83399.99468374252	43.6	13.5	72.25448851878416	221.0	0.0	3.149979819929326	1.7609311227703965
7000106	44348	84628.77139544487	230.3	222.0	150.6504784813731	419.0	59.0	6.150721086039982	1.6353222826320064
7100010	44697	85859.18911218643	258.2	301.5	125.98394959500023	402.0	81.0	8.351841211231076	1.5656115823675107
7200786	45047	87102.40620779991	222.2	172.5	141.47540029591323	400.0	73.0	5.860210996498187	1.7327848617754187
7300109	45388	88336.5644390583	320.4	378.5	109.47572029145701	416.0	113.0	8.555335167136935	1.4322813401960448
7400107	45732	89582.72661447525	330.7	362.5	90.33154979789114	418.0	127.0	8.959155758939584	1.4285038765661389
7500230	46101	90819.25499296188	273.7	331.0	121.56667123663277	408.0	95.0	8.953834106150435	1.4877215249962437
7600167	46458	92068.51791262627	163.9	120.5	133.87676754720698	377.0	24.0	9.004355256754197	1.5368919891489523
7700047	46820	93402.3938331604	371.7	390.5	105.76814265174556	559.0	143.0	8.117314056584563	1.5991315914621576
7800324	47163	94733.98648786545	319.1	338.0	93.98989307367043	412.0	132.0	9.472899541457254	1.9749159179619626
7900203	47521	96038.68522286415	284.6	348.0	138.77015369147486	444.0	76.0	8.368818619941282	1.9649188336671104
