steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100368	108	834.7152848243713	-20.7	-21.0	0.48304589153964794	-20.0	-21.0	-0.24817415666777273	0.37517416065508125
200238	215	1928.715030670166	-20.3	-20.5	0.8232726023485646	-19.0	-21.0	-0.4212357866790465	0.11594036591913212
300764	320	3043.122878074646	-21.0	-21.0	0.0	-21.0	-21.0	-0.5495631149831588	0.11915229096695411
400644	419	4193.274333238602	-20.9	-21.0	0.31622776601683794	-20.0	-21.0	-0.6295205255081954	0.1188719505070744
501070	512	5378.891348361969	-17.9	-18.5	2.923088169119167	-11.0	-21.0	-0.49837782396779273	0.10974167650771093
600201	589	6611.899483919144	-14.3	-18.0	10.317730155201557	14.0	-21.0	-0.4270173105628352	0.11576289063498015
700695	662	7880.196138858795	-20.5	-21.0	0.7071067811865476	-19.0	-21.0	-0.4734441060576075	0.13904720792967948
800353	725	9150.593204498291	-19.6	-19.5	1.429840705968481	-17.0	-21.0	-0.463349461099889	0.13020721034762436
901267	786	10474.740359306335	-19.6	-19.5	1.429840705968481	-17.0	-21.0	-0.4726365654522459	0.1461646083518531
1000361	839	11797.697761535645	-15.7	-16.0	2.6267851073127395	-12.0	-20.0	-0.4521873012625844	0.13060898526635537
1102699	888	13177.397671937943	-17.9	-19.0	3.784471194529326	-8.0	-21.0	-0.49613642218757226	0.11480229158979686
1200632	935	14480.596127986908	-19.3	-19.0	1.636391694484477	-17.0	-21.0	-0.420650297077645	0.11606622714509843
1302005	985	15858.222764492035	-17.0	-17.5	2.160246899469287	-14.0	-20.0	-0.3722836021135107	0.1076073973701181
1400564	1032	17164.693643331528	-17.3	-18.0	3.3349995835415367	-9.0	-21.0	-0.4231232470305998	0.10757118985212016
1500335	1081	18515.68564772606	-19.1	-20.0	2.0789954839350235	-15.0	-21.0	-0.43338903424265607	0.10934426335883957
1601774	1132	19884.046546697617	-15.4	-16.5	4.060651288757616	-8.0	-21.0	-0.3634323163314722	0.11211362803690902
1700289	1182	21237.75662112236	-10.0	-8.0	5.754225500544023	-4.0	-19.0	-0.29772793533572733	0.11286859075566
1800721	1230	22612.509942770004	-13.4	-14.0	4.3256341860022225	-6.0	-19.0	-0.34584458743379237	0.1185445874613632
1900719	1275	23979.040815591812	-17.3	-18.5	3.1287200080686173	-12.0	-21.0	-0.2707529784292635	0.12529248246504587
2001854	1316	25373.827390432358	-13.2	-13.0	5.3499740393970345	-4.0	-21.0	-0.20957723968837433	0.11363157255395395
2101824	1356	26796.313429117203	-5.5	-5.0	2.3687784005919825	-3.0	-9.0	-0.14395669711884085	0.10571823313079043
2203094	1391	28232.302498340607	-7.8	-9.5	6.250333324444918	4.0	-16.0	-0.06159611235741183	0.13323548791213333
2301442	1426	29622.839196681976	-8.6	-7.5	3.339993346633426	-5.0	-13.0	-0.014556925670150177	0.12735910057190192
2401695	1459	31066.24687075615	-2.9	-3.0	2.558211180579986	2.0	-6.0	-0.0007316185037999336	0.14749903174330037
2502352	1492	32522.292067289352	-0.4	0.0	5.460972644339305	7.0	-9.0	0.13361394495012843	0.15255459809482882
2601217	1523	33961.17238354683	3.8	5.0	5.940445175985458	12.0	-7.0	0.12936351195955792	0.14472436758745252
2702834	1554	35411.18507003784	-5.9	-7.0	3.634709219609061	2.0	-10.0	0.19214987512815562	0.1571709293684219
2800329	1581	36856.023703575134	6.1	7.0	4.121757985239901	11.0	-3.0	0.256824700245494	0.1480658757118845
2900489	1612	38342.966910123825	2.4	3.0	4.005551702879947	10.0	-3.0	0.30079039098909977	0.11870389926756607
3003355	1643	39846.9799284935	5.5	5.0	2.4608038433722332	9.0	1.0	0.28626305304829286	0.11744960717820842
3103226	1672	41322.65491127968	6.1	7.5	5.152130088074683	13.0	-4.0	0.3343229670435559	0.12973163215608197
3200802	1700	42773.45407509804	8.3	8.0	2.406010991015812	12.0	5.0	0.33916127542046726	0.17272467160088265
