steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100385	108	1004.3851139545441	-21.0	-21.0	0.0	-21.0	-21.0	-0.004879855729247528	0.12915320461002616
200653	216	2349.8213839530945	-20.6	-21.0	0.5163977794943222	-20.0	-21.0	-0.2193450130923412	0.08397755774891716
300087	320	3701.8094947338104	-20.7	-21.0	0.48304589153964794	-20.0	-21.0	-0.311738853046353	0.1804142437649982
400883	425	5132.202516317368	-19.8	-21.0	2.0976176963403033	-15.0	-21.0	-0.33658322540946095	0.09566312979655664
500758	508	6575.23703122139	-20.4	-21.0	0.9660917830792959	-18.0	-21.0	-0.4310915553132123	0.11332895587549552
601321	577	8116.960384130478	-17.3	-18.0	2.9832867780352594	-13.0	-21.0	-0.4461660044225637	0.11048708692400276
700698	642	9616.21126818657	-19.8	-19.5	1.1352924243950935	-18.0	-21.0	-0.39689505346983767	0.14816518206593304
801575	706	11201.015771389008	-18.7	-19.0	1.4181364924121764	-16.0	-21.0	-0.37955850919389195	0.15111659036706504
900511	758	12819.806451797485	-14.9	-15.0	2.4244128727957572	-12.0	-18.0	-0.2205720336791151	0.1506993383273349
1001166	802	14468.150678634644	-16.4	-16.0	1.3498971154211057	-15.0	-19.0	-0.279556963004229	0.13063113255635747
1100867	848	16112.894907712936	-16.5	-16.0	1.4337208778404378	-15.0	-20.0	-0.23102796224207783	0.12775720256021728
1202748	891	17845.936225414276	-11.2	-10.5	4.1041983924323695	-5.0	-19.0	-0.2531607467957158	0.11163156406812533
1301646	925	19556.890268087387	-5.1	-9.5	11.229425630903835	11.0	-18.0	-0.21201178532412077	0.11096056856366317
1400611	964	21252.066998004913	-9.7	-10.0	5.657836257007719	-2.0	-19.0	-0.17318508073256675	0.1252045479170045
1501509	1000	22962.785738945007	-7.3	-11.0	8.969702088450628	12.0	-14.0	-0.14304749820552623	0.11565786268146608
1601356	1036	24649.010818004608	-8.8	-8.0	2.5298221281347035	-6.0	-12.0	-0.11178534037507855	0.12675703292106325
1701581	1070	26369.232707500458	-5.7	-8.0	7.409453421137082	8.0	-14.0	-0.09981598352866655	0.11051458037590768
1800071	1101	28068.063835144043	-5.4	-5.0	5.521674464226308	4.0	-15.0	0.01878678860565829	0.10550116223846365
1902435	1135	29825.259871721268	-7.0	-6.0	8.110350040397625	5.0	-20.0	-0.04180717667878728	0.10291496991740434
2002514	1168	31568.339031934738	-2.9	-4.0	4.931756504757937	4.0	-10.0	0.08727593705779509	0.1069081954884846
2101968	1199	33314.10908770561	-5.4	-6.5	6.979334575094613	8.0	-15.0	0.06845244694621348	0.12238279433040594
2200779	1229	35076.14206910133	-2.4	-1.5	6.363087999461338	5.0	-18.0	0.12497227122776874	0.14061992828167338
2300514	1256	36843.20444417	-4.9	-3.5	7.852105167122735	3.0	-21.0	0.15089671158836993	0.13997566434078212
2401753	1281	38622.73674988747	0.9	2.0	9.182713227702486	12.0	-18.0	0.16672861764549546	0.12372937620534914
2503541	1305	40461.77267289162	2.0	4.5	6.200358412579424	9.0	-9.0	0.1621489618616537	0.10071224750277566
2600287	1327	42207.32985496521	8.0	10.0	7.888106377466155	16.0	-8.0	0.2536551007017904	0.12760249705706325
2703504	1351	44053.051780462265	10.0	10.0	4.47213595499958	17.0	2.0	0.2812543210894756	0.11653095176411828
2800821	1373	45859.07800936699	4.2	5.5	2.898275349237888	7.0	-2.0	0.2075778159662833	0.12278836530970103
2902090	1397	47696.18886470795	9.5	9.0	2.9154759474226504	14.0	5.0	0.4165015783217897	0.13095323113102067
3002224	1422	49459.7250187397	11.0	13.0	3.39934634239519	14.0	5.0	0.3596572011313253	0.0998351122721599
3100775	1448	51244.65454864502	11.7	13.5	4.643992535164831	18.0	4.0	0.5210077689430376	0.10586114535043448
3201383	1476	52997.32626771927	6.0	11.5	12.283683848458853	17.0	-17.0	0.42622954300641475	0.10455226788195622
3301799	1504	54661.21540570259	9.6	14.5	10.553567064162609	18.0	-12.0	0.5469786395821788	0.08696448415579766
3400282	1532	56277.083968639374	13.8	13.5	3.22490309931942	19.0	8.0	0.6203322729262547	0.11722036429955865
3503625	1563	57923.98939919472	4.5	12.0	14.804278660801636	19.0	-19.0	0.3865912873760577	0.1022163582161483
3603691	1593	59567.215663433075	13.7	13.5	2.496664441476534	17.0	10.0	0.5844683826692076	0.08611601554614437
3700721	1623	61143.81024980545	15.1	16.0	4.383048152953731	19.0	4.0	0.5997034336234175	0.10436587007983808
3800015	1655	62751.14694285393	14.9	15.0	3.1073389830457114	19.0	9.0	0.6323509967513529	0.08367209505217274
3902620	1690	64382.12632918358	15.8	17.0	2.6583202716502514	19.0	10.0	0.7586456612522776	0.07588762043377331
4003093	1724	65994.787961483	15.8	15.5	3.119829055146024	21.0	12.0	0.6105109622352641	0.08119043436086211
4100350	1758	67556.27921772003	15.3	15.5	2.496664441476534	19.0	12.0	0.7609226033169183	0.10995316585510645
4201717	1795	69152.80647873878	6.8	16.0	14.124840215418761	19.0	-17.0	0.5898189764451579	0.07660576645020799
4300537	1833	70746.30287861824	16.0	17.0	3.197221015541813	19.0	8.0	0.7875086723709426	0.10555059241658489
4400771	1868	72372.33809614182	15.8	16.0	1.8737959096740262	19.0	13.0	0.7866738508673734	0.09067317143969343
4500255	1903	73978.63730144501	16.0	16.0	1.632993161855452	19.0	14.0	0.8748298590325982	0.08561026311723752
4600729	1939	75606.00407266617	17.1	17.0	1.8529256146249728	19.0	13.0	0.8228255347324935	0.08751479676076541
4700184	1973	77237.23203539848	16.3	16.5	1.70293863659264	19.0	13.0	0.7716917538898465	0.07718806215025457
4802607	2010	78904.86304283142	16.4	16.5	1.7126976771553506	19.0	14.0	0.8375343631866475	0.064130278477901
4902458	2045	80555.53924679756	14.6	15.0	2.4129281427805145	18.0	11.0	0.9796109236620942	0.08496388317578511
5000548	2081	82183.7629494667	17.1	16.0	2.0248456731316584	20.0	14.0	0.956371591534058	0.07951849222905369
5101555	2119	83834.52981090546	17.8	18.0	2.043961295567452	20.0	14.0	1.0092526524443772	0.07716049924419119
5201012	2156	85470.12406182289	17.8	18.0	1.7511900715418263	20.0	14.0	0.92038192986502	0.08204315034269713
5301779	2193	87135.7161886692	17.8	17.0	1.5491933384829668	20.0	16.0	0.9788978876424035	0.05344287249054377
5402600	2230	88804.33542108536	17.7	18.0	1.70293863659264	20.0	14.0	0.9234569253707468	0.053115965314165896
5501651	2268	90445.70780587196	14.8	18.0	9.342852288722588	21.0	-10.0	1.0113917845046971	0.06404687397636566
5602861	2308	92108.82185292244	17.7	18.0	2.6267851073127395	21.0	13.0	1.0414550660257107	0.05894487760083807
5702443	2348	93730.64343571663	18.9	19.0	1.1005049346146119	21.0	17.0	1.0361684089877825	0.07069909612705533
5800582	2391	95351.85977983475	17.0	17.5	1.9436506316151	20.0	14.0	0.8997371724555875	0.08348569397774806
5900490	2435	96973.29615163803	19.2	19.5	1.8737959096740262	21.0	15.0	1.028807676263162	0.07172562765913543
6001533	2478	98597.04365849495	18.8	19.0	1.9888578520235065	21.0	14.0	1.048512264103797	0.07554937094666066
6100587	2521	100179.71326613426	19.3	20.0	1.567021236472421	21.0	16.0	1.0618601402201278	0.07803406844741562
6202049	2565	101808.58151388168	19.8	20.0	0.9189365834726815	21.0	18.0	1.0573499655740166	0.04972624891258417
6300227	2606	103383.26237511635	18.7	19.0	1.946506842754191	21.0	15.0	1.0420902921912667	0.08517733643783858
6400788	2649	104967.80483078957	19.8	20.0	1.3165611772087666	21.0	17.0	1.0584693165767285	0.07728569416751536
6500663	2694	106523.01756858826	20.1	20.0	0.9944289260117533	21.0	18.0	1.0497155627054426	0.07993468353565608
6601535	2741	108099.86019897461	19.0	19.0	1.5634719199411433	21.0	16.0	1.1404758723445807	0.05768119320384821
6701346	2789	109653.24655532837	19.8	20.0	1.1352924243950935	21.0	17.0	1.1675692031185458	0.05444752026818956
6800880	2837	111189.31988596916	20.2	20.0	0.7888106377466155	21.0	19.0	1.1953741364666046	0.07983741468371482
6900832	2886	112745.40253901482	19.3	19.5	1.5670212364724212	21.0	17.0	1.1933531488804139	0.05354991638029802
7001075	2933	114287.3188381195	20.1	20.0	1.1972189997378648	21.0	17.0	1.258896882503676	0.05699971299214532
7100147	2982	115822.88841533661	20.3	20.5	0.8232726023485646	21.0	19.0	1.264144994106085	0.06494189601623658
7201256	3031	117392.2824947834	19.7	20.0	0.9486832980505138	21.0	18.0	1.2616417661510224	0.05005615928003661
7302496	3080	118940.0306687355	20.0	20.0	1.4907119849998598	21.0	16.0	1.2932830025632678	0.04531804527490997
7400220	3129	120450.59886550903	18.8	18.5	1.6193277068654826	21.0	17.0	1.221474018837693	0.05980326225019689
7501043	3178	121998.86431717873	19.4	19.5	0.9660917830792959	21.0	18.0	1.277451930973825	0.04993358972208422
7600825	3227	123547.03349542618	19.7	20.0	1.1595018087284057	21.0	17.0	1.172802728371547	0.0524391425143077
7700477	3277	125076.47678804398	20.2	20.0	0.7888106377466155	21.0	19.0	1.335846142861645	0.05791982183777315
7801744	3327	126632.81188106537	20.2	20.0	0.7888106377466155	21.0	19.0	1.3076840922791555	0.044001436024349125
7900415	3375	128160.16651415825	20.0	20.5	1.4142135623730951	21.0	17.0	1.287081549231091	0.06494719815531819
8000493	3425	129731.97872018814	19.5	20.0	1.1785113019775793	21.0	17.0	1.3061815218487256	0.056058223419198604
8101556	3475	131316.82913279533	19.4	20.0	2.0110804171997807	21.0	15.0	1.3082049710484298	0.04321927312374664
8200094	3523	132859.9387433529	17.2	21.0	10.304260176149366	21.0	-12.0	1.0455085655202743	0.04204845564562335
