steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100452	106	844.2860505580902	-21.0	-21.0	0.0	-21.0	-21.0	0.024415661044180165	0.27487418195571045
200274	211	1965.2560245990753	-20.9	-21.0	0.31622776601683794	-20.0	-21.0	-0.19522391332297342	0.09003534755206548
300195	317	3110.6893179416656	-21.0	-21.0	0.0	-21.0	-21.0	-0.24296372161056026	0.14307101403513744
400094	412	4297.632595062256	-19.9	-20.0	0.8755950357709131	-19.0	-21.0	-0.283720644923778	0.1099936402605235
501269	502	5517.918212652206	-20.9	-21.0	0.31622776601683794	-20.0	-21.0	-0.3860799324306479	0.10392372277552968
600120	573	6733.750503540039	-19.4	-20.5	2.5473297566057065	-13.0	-21.0	-0.44326361146121823	0.13599762247541514
701522	641	8004.086179256439	-20.6	-21.0	0.5163977794943222	-20.0	-21.0	-0.38336026945748547	0.14025354734950496
801098	697	9325.287883758545	-19.2	-19.5	1.6865480854231356	-16.0	-21.0	-0.31530113053255737	0.12904518271000567
901973	747	10713.977045536041	-14.0	-14.0	1.8257418583505538	-11.0	-17.0	-0.24906902295258204	0.1267753756895376
1001787	790	12095.661159276962	-17.9	-18.5	2.766867462592951	-12.0	-21.0	-0.2711884944858647	0.11657612343176399
1100625	830	13469.039894580841	-18.3	-18.0	1.2516655570345725	-16.0	-20.0	-0.12085080644082559	0.1325745818558283
1201174	871	14908.919703245163	-7.5	-7.5	9.107384061542835	6.0	-18.0	-0.08172477729948963	0.13566464719392077
1302572	911	16301.455788135529	-15.5	-20.0	7.849274559544411	-2.0	-21.0	-0.05860071795360365	0.1066775586285111
1400575	945	17736.60988688469	-11.5	-10.0	6.363961030678928	-5.0	-21.0	0.04721971358358205	0.13704461596444384
1502798	982	19172.425447702408	-9.4	-10.5	9.143303560529969	1.0	-21.0	0.07969654249428125	0.09661308284081194
1601541	1020	20579.9227142334	-9.8	-11.0	9.908470001860922	4.0	-21.0	-0.07413826164439101	0.12027183219979774
1701256	1056	21991.507299423218	-9.4	-13.5	10.479609831583533	7.0	-19.0	-0.031993465644186404	0.11356619700441914
1800850	1090	23438.161956310272	-7.1	-3.5	8.45182426067493	4.0	-18.0	0.16936406526722236	0.10588504559592464
1900028	1122	24805.802183628082	-15.3	-15.5	4.4234225060089685	-7.0	-21.0	0.059608657844388895	0.11258721973871487
2000322	1155	26306.106843471527	-1.6	2.0	9.179687721631202	8.0	-19.0	0.06249166107141554	0.11222401727062274
2102791	1187	27838.668199300766	-3.9	-4.5	4.458450154232722	3.0	-10.0	0.08622030371993473	0.10596146154320603
2202481	1217	29281.380135774612	-10.4	-8.0	5.440588203494177	-3.0	-19.0	0.0950277984348605	0.0830410712277675
2300596	1244	30639.496309757233	-15.3	-15.5	5.034326612809745	-5.0	-20.0	0.08801700478499073	0.12351946187621854
2401575	1272	32124.329560279846	-6.3	-7.5	4.24394994210713	2.0	-11.0	0.09180932813346543	0.11811096674257092
2501173	1299	33607.27869725227	-1.0	-1.5	8.70504323813373	10.0	-14.0	0.17360407745651185	0.13508272669224647
2604308	1323	35199.00015497208	-1.5	-1.5	4.8362060428489695	7.0	-10.0	0.2373994364462238	0.09873447806151343
