steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100331	105	814.145998954773	-21.0	-21.0	0.0	-21.0	-21.0	-0.08765932622342919	0.19362035383738377
200540	214	1904.7616353034973	-20.8	-21.0	0.4216370213557839	-20.0	-21.0	-0.15296665566422082	0.1018961858692338
300254	314	3009.281299829483	-20.8	-21.0	0.6324555320336759	-19.0	-21.0	-0.2590347233712311	0.166673077633842
400476	412	4123.918287992477	-20.0	-20.5	1.3333333333333333	-17.0	-21.0	-0.24682720490983498	0.09788957863029238
501211	504	5263.620537281036	-20.4	-20.5	0.699205898780101	-19.0	-21.0	-0.27439320875732076	0.11941743770042587
601014	574	6422.859630584717	-17.5	-17.5	1.6499158227686108	-15.0	-20.0	-0.14273139060945209	0.13005508809493666
701565	635	7601.971399068832	-19.4	-19.0	1.0749676997731399	-18.0	-21.0	0.014930548358300844	0.12495424888404533
801953	690	8802.627692222595	-16.5	-17.0	1.90029237516523	-13.0	-19.0	-0.049534962227418954	0.10880685360142173
901890	737	10010.398897409439	-15.5	-16.5	3.6285901761795403	-10.0	-21.0	0.04125922521828892	0.10980358506960544
1001185	777	11195.56706237793	-16.5	-17.0	2.6352313834736494	-11.0	-20.0	-0.0001466953596776728	0.10993100183176262
1100281	820	12389.88362622261	-17.4	-18.0	1.9550504398153574	-14.0	-20.0	0.03704971787604456	0.1023651610126299
1200785	865	13615.488331079483	-15.0	-15.0	2.494438257849294	-11.0	-18.0	0.16677808672441655	0.08997196056024927
1301224	907	14818.634506702423	-14.5	-17.0	5.212165257037297	-6.0	-21.0	0.1387959509832954	0.09820100304248594
1401771	949	16047.361871004105	-17.9	-18.0	1.8529256146249728	-15.0	-21.0	0.20651640454951906	0.09496006017324284
1502230	989	17275.647388458252	-14.0	-15.5	4.268749491621899	-6.0	-18.0	0.14090166833349657	0.09340023433002616
1600878	1027	18491.92699956894	-9.8	-11.0	6.356099432828281	-1.0	-18.0	0.3729543072773178	0.09671762059643293
1700948	1064	19713.07306075096	-8.0	-9.0	8.65383665716478	5.0	-20.0	0.41350478024006176	0.10802836662484679
1800457	1097	20954.586010456085	-5.9	-5.0	4.2282121254470875	2.0	-13.0	0.5238785921385233	0.09660644219637902
1901450	1130	22218.57950282097	-2.6	-0.5	6.801960501698511	5.0	-14.0	0.6204370063127425	0.08815023243834208
2001413	1160	23468.008895158768	-2.1	0.5	7.0624201077093804	5.0	-13.0	0.5806116903295534	0.08081025249008449
2104137	1187	24776.708327054977	2.2	2.5	6.408327915038888	10.0	-7.0	0.5175014168965991	0.08242548015968096
2200829	1211	26029.040581703186	3.1	5.5	6.136412270663988	9.0	-9.0	0.5954573986047227	0.09254399422732701
2301052	1236	27346.27040910721	2.8	3.0	4.61398839279954	8.0	-5.0	0.594789582501837	0.09276984096750604
2401022	1259	28658.135532855988	5.2	5.5	3.359894178227774	10.0	-1.0	0.6500558318123024	0.0864294115934888
2500631	1282	29958.15528512001	1.8	2.5	4.049691346263317	8.0	-5.0	0.6871561426696556	0.09380878760170369
2602283	1306	31291.84582066536	0.7	1.5	3.743141876967945	7.0	-5.0	0.6931893789998252	0.09364080816708448
2703489	1330	32604.14896416664	1.2	1.0	4.871686908385363	11.0	-8.0	0.8045814497357121	0.080099698056498
2800382	1354	33879.19661331177	3.8	4.5	3.9384147967311813	10.0	-3.0	0.8805005659853089	0.08332378222053963
2903830	1380	35211.01830506325	8.4	8.0	2.8751811537130436	13.0	2.0	0.8393998509151465	0.06904084083782858
3003567	1404	36491.72774553299	7.7	8.0	6.03784361801095	16.0	-1.0	0.9394139538034628	0.07583198006065164
3100936	1429	37715.18306827545	0.4	5.0	9.86801792548928	10.0	-21.0	0.949302430813226	0.085006785235411
3200974	1454	38994.316038131714	-0.2	-1.5	4.022160834399561	5.0	-6.0	1.0146389686025834	0.08414425184343963
