steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100002	814	884.1354899406433	230.0	230.0	74.38637868140465	380.0	140.0	0.09811320444365527	0.10713352793678216
200210	1539	2040.113052368164	40.0	40.0	23.094010767585033	80.0	20.0	0.21184614554910183	0.11925435808547134
300202	2087	3202.977548599243	230.0	230.0	71.33644853010898	340.0	140.0	0.7124005827745636	0.2205032901771101
400216	2561	4385.234782457352	188.0	190.0	82.83853102404836	380.0	100.0	1.2018050344185718	0.26747855759523376
500205	3015	5605.117142438889	320.0	280.0	104.13666234542207	520.0	220.0	1.5008414591861943	0.3077717459915828
600004	3474	6840.973893165588	212.0	210.0	73.15128919650775	320.0	80.0	1.8203748203365764	0.375988748877165
700118	3939	8121.983927965164	294.0	280.0	96.6321777555374	520.0	160.0	2.3402736341325134	0.47035209108012993
800017	4361	9410.93280506134	138.0	140.0	33.2665998663324	200.0	80.0	2.3636474092449777	0.4079708904103652
900072	4878	10733.918182373047	198.0	170.0	106.85400216078843	380.0	80.0	2.6927224984139486	0.4864032213814779
1000109	5373	12070.536199569702	210.0	200.0	63.42099196813483	300.0	120.0	2.8383999069020063	0.5759820489704505
1100000	5861	13409.58205986023	290.0	320.0	91.53020145163987	420.0	140.0	3.1062504047901367	0.4860182265457808
1200022	6265	14742.334685325623	96.0	100.0	20.65591117977289	120.0	60.0	2.9102454710315655	0.5405286544152581
1300256	6724	16120.024441242218	500.0	530.0	88.94442709417557	600.0	320.0	3.10017376962747	0.7156188142445872
1400099	7156	17457.831486701965	252.0	240.0	94.84490263348661	480.0	140.0	3.0053247078185756	0.6553443009283649
1500317	7544	18845.791256427765	672.0	660.0	129.68337510173683	860.0	520.0	3.264970312815327	0.6499455374883456
1600481	7946	20203.50405049324	366.0	370.0	75.45418035691152	460.0	200.0	3.3160496926464518	0.6665192200232616
1700110	8313	21580.41701412201	592.0	580.0	270.99815497526913	1000.0	200.0	3.281086637676901	0.5067770899027172
1800194	8588	22980.79115629196	754.0	740.0	158.89898957793562	980.0	560.0	3.329859175636924	0.614579036904721
1900383	8881	24376.413915872574	762.0	760.0	252.88556920297194	1120.0	420.0	3.5115325922905605	0.5236974564770727
2000149	9137	25807.106739521027	1220.0	1260.0	249.08722256359206	1580.0	800.0	3.5833031685994436	0.5256085565227636
2100385	9372	27219.021709918976	1084.0	1130.0	243.4565897878123	1320.0	500.0	3.634799730208907	0.45390401357024757
2200090	9592	28609.653034210205	496.0	540.0	173.79425895133718	720.0	120.0	3.703753065163121	0.48211909229041067
2300278	9811	30027.226299762726	1550.0	1590.0	300.8506458545687	2000.0	1120.0	3.738006221947004	0.4690802648146302
2400511	10028	31492.889626264572	1226.0	1190.0	148.48868269632163	1440.0	1000.0	3.780052018292953	0.5039470030455725
2500116	10233	32944.956959962845	1244.0	1240.0	189.2206237291391	1520.0	820.0	3.9835465527349934	0.48301601004096467
2600026	10431	34373.820722818375	1308.0	1320.0	155.5492062196254	1540.0	1080.0	4.092686257498519	0.4929267790774655
2700229	10632	35818.464635849	1820.0	1760.0	417.9314138308661	2500.0	1240.0	4.218350495145813	0.47144479095960884
2800351	10826	37259.06460380554	2422.0	2180.0	732.2082278210816	3640.0	1620.0	4.857888717729125	0.5521170021707849
2900002	11028	38768.24224305153	3758.0	3505.0	1734.8185944229315	6550.0	1500.0	4.986995726223993	0.5351436813629242
3000697	11232	40258.907366752625	1930.0	1650.0	1095.8608995265372	4160.0	580.0	5.100231266224236	0.6994327500869723
3100108	11428	41742.08218741417	2112.0	2120.0	449.9086326997714	2860.0	1540.0	5.231862843543368	0.7509093868475024
