steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100044	829	1063.6172196865082	134.0	120.0	35.339622081862856	200.0	100.0	0.35143057046273635	0.11383701216046797
200000	1452	2473.5889320373535	136.0	140.0	18.37873166945363	160.0	100.0	0.511352339371465	0.1590735813113749
300032	1990	3938.6594593524933	468.0	440.0	139.2679272322079	720.0	280.0	0.8258324555633331	0.2361380913944785
400351	2413	5488.60876250267	650.0	690.0	154.70401847829723	840.0	360.0	1.3547458635178806	0.29833756148454466
500232	2781	7033.735734462738	554.0	540.0	113.15672514015438	740.0	380.0	2.049851793918125	0.33316206158284184
600034	3177	8555.240592718124	372.0	330.0	150.90836071382304	600.0	160.0	2.4922685947541994	0.4352540312843362
700406	3515	10171.717195510864	530.0	510.0	153.83974345619103	800.0	320.0	2.8583098922319397	0.4191784952959065
800178	3931	11739.845990419388	476.0	490.0	167.80941570722425	740.0	260.0	3.158972191907632	0.5196744453394702
900064	4312	13320.918301820755	438.0	400.0	187.95980657813226	800.0	200.0	3.261700891214148	0.5168920032293536
1000536	4704	14946.31684923172	578.0	540.0	157.60710643876436	820.0	320.0	3.614007276016794	0.566885274244552
1100331	5065	16632.593950271606	944.0	1090.0	361.08478536518567	1320.0	240.0	3.5662373544285035	0.5999850374153367
1200143	5294	18351.42263698578	1278.0	1240.0	246.29702032753505	1640.0	960.0	3.582708180436881	0.5521991530709879
1300239	5528	20095.938721179962	1620.0	1640.0	160.8311744241976	1860.0	1400.0	3.8164761404065968	0.48905765877357854
1400084	5745	21787.573986053467	1546.0	1540.0	349.6093057495276	2060.0	920.0	3.837782447218289	0.7219876950348728
1500374	5956	23514.244445085526	1906.0	2000.0	360.74614035049325	2240.0	1080.0	4.08657992325311	0.6142146773420608
1600238	6146	25228.89551758766	2238.0	2260.0	146.8029669697146	2420.0	1900.0	4.128903306670423	0.5565579215561637
1700204	6335	26942.72083234787	2224.0	2270.0	189.2206237291391	2420.0	1860.0	4.16020277116561	0.5628313145612636
1800496	6528	28672.75236392021	2136.0	2190.0	235.28705871764387	2440.0	1800.0	4.327620066435161	0.6307295224488614
1900127	6712	30410.760693073273	2428.0	2480.0	188.3731521327932	2560.0	1900.0	4.328017741610481	0.5026302802412229
2000158	6893	32126.17811846733	2364.0	2440.0	207.16069983362084	2580.0	1960.0	4.654926517434417	0.5157319602034693
