steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100054	868	854.4518308639526	54.0	60.0	25.03331114069145	80.0	20.0	0.1919319020192428	0.09200278257721449
200020	1608	2003.7012383937836	192.0	200.0	49.17090377222873	260.0	120.0	0.4802991026161135	0.13268337646708198
300100	2129	3191.620980501175	272.0	270.0	101.19288512538814	440.0	160.0	0.7328226029011805	0.19400042421683525
400321	2562	4430.781270027161	548.0	540.0	73.15128919650775	680.0	460.0	1.4119167566435198	0.2767240974552472
500553	2960	5684.725428581238	454.0	450.0	125.09551905999227	620.0	300.0	1.812695504744549	0.31802753403862627
600112	3454	6914.137702703476	316.0	310.0	96.05553948974867	480.0	180.0	2.2174917861243966	0.4470795794089297
700075	3934	8174.381711483002	262.0	290.0	59.962951524716956	320.0	140.0	2.5678814047416614	0.4984306110882682
800442	4383	9466.552733182907	362.0	310.0	122.00182148002727	620.0	220.0	3.089101988438059	0.6040633527791872
900456	4881	10795.340933084488	432.0	450.0	136.03921003397022	620.0	220.0	3.240027594821133	0.6554637437296773
1000272	5230	12137.552961587906	308.0	260.0	113.99805066559496	460.0	180.0	3.573793496419672	0.4746413277120612
1100446	5666	13499.864299297333	480.0	500.0	171.26976771553504	680.0	220.0	3.697495566987172	0.670340014489649
1200065	6142	14873.390097618103	424.0	420.0	67.19788356455548	520.0	340.0	3.6935725974960048	0.7272902036968718
1300106	6608	16230.535063505173	336.0	330.0	101.45606602531628	500.0	200.0	3.7622188407188273	0.672454887646072
1400322	6936	17653.381910562515	958.0	990.0	193.32183873875536	1200.0	520.0	3.9700668131635712	0.7773861638274651
1500146	7232	19037.44016456604	564.0	540.0	321.2198969899315	1180.0	120.0	3.802594459976086	0.6895491250373641
1600256	7537	20444.93249988556	654.0	620.0	224.50934155273907	1040.0	320.0	4.099453225524391	0.561883211581125
1700413	7808	21884.813019752502	1126.0	1180.0	325.1051112076421	1580.0	440.0	4.119193660805467	0.6679077595964518
1800375	8036	23320.418045520782	1388.0	1340.0	203.78638052845653	1680.0	1080.0	4.203321031752467	0.6309633189857264
1900097	8255	24763.858206033707	1706.0	1750.0	215.8291505386198	1980.0	1220.0	4.273876917373264	0.6146539061512866
2000089	8467	26197.7594769001	1724.0	1780.0	252.59541651511503	2060.0	1360.0	4.348898494877516	0.5578409084986158
2100382	8673	27628.86662530899	1810.0	1740.0	397.3523485382827	2300.0	1160.0	4.694796087055043	0.49039510781564366
2200197	8870	29068.36252808571	2062.0	2060.0	187.2490913788962	2340.0	1640.0	4.6661708912309106	0.5944085215098551
2300101	9058	30514.16146326065	2291.0	2390.0	394.58698519957403	2870.0	1500.0	4.909939361378121	0.5321714329266437
