steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100134	819	874.9241979122162	262.0	250.0	91.14091653404999	400.0	140.0	0.6261719169620961	0.22034022648119492
200083	1458	2034.0979125499725	372.0	400.0	108.81176406988355	560.0	240.0	1.885458555254088	0.36922082159578196
300306	1993	3201.43909907341	396.0	370.0	125.00666648889836	600.0	160.0	2.8583326018118402	0.6014827182030483
400016	2504	4387.63063287735	556.0	540.0	162.1521918856891	760.0	340.0	3.8815965520272937	0.7674369675752809
500313	3040	5564.8151733875275	416.0	400.0	110.67469850371805	580.0	260.0	4.487482055423945	1.0472026870735593
600021	3494	6733.896697044373	316.0	310.0	105.32489417670133	460.0	120.0	4.900155262700527	1.0246879584125366
700555	3909	7913.2633645534515	342.0	350.0	147.10540438746634	560.0	160.0	5.463811774071416	0.8957865576756395
800321	4248	9107.231181383133	510.0	480.0	132.077418374393	740.0	360.0	5.835654582827989	1.0492106990991823
900344	4570	10290.051559209824	336.0	290.0	141.35848832745143	560.0	180.0	6.358227413268415	1.1909984467406003
1000347	4812	11499.85168504715	618.0	620.0	120.53584068188552	860.0	420.0	6.96947301792341	0.9825525438240141
1100069	5031	12726.43428492546	642.0	650.0	152.154891840884	860.0	440.0	6.922626575039455	1.014972709339094
1200157	5231	13971.495228290558	754.0	710.0	248.02329639684163	1300.0	460.0	7.278331536602043	1.0221345973406442
1300292	5435	15225.164224147797	932.0	960.0	253.36841862307062	1420.0	620.0	7.36524491647264	1.1004416399628199
1400363	5642	16466.35485100746	902.0	810.0	231.7949285227977	1380.0	620.0	7.581985058339795	0.9370235620450406
1500182	5839	17694.7062292099	824.0	840.0	234.71969097911946	1100.0	440.0	7.464384327485068	1.0265256759722994
1600207	6018	18939.6128180027	1296.0	1240.0	347.28150605012706	2100.0	900.0	8.008686527560897	0.9441731425055937
1700586	6219	20212.555307865143	1270.0	1200.0	245.35688292770595	1720.0	1000.0	8.229530877341855	0.8588429838685111
1800528	6410	21465.888684988022	1272.0	1220.0	447.2334712180851	2000.0	580.0	7.720404803804466	0.8863005109186618
1900966	6610	22730.124360084534	1712.0	1650.0	526.4725380618949	2600.0	1000.0	8.194311024390636	0.7877688513262306
2000130	6800	23982.687729358673	1612.0	1540.0	443.7416665884179	2440.0	900.0	8.181425847823366	0.8116570052687767
2100339	6978	25242.79040336609	1424.0	1450.0	148.71299726505265	1640.0	1200.0	7.97663572832557	0.7421532523852578
2200906	7148	26527.186177015305	2016.0	2000.0	910.0818034049955	3760.0	900.0	8.350337878896122	0.740305057050142
2300248	7292	27801.74749970436	2404.0	2350.0	684.3520861207173	3480.0	1400.0	8.337932074838339	0.8001098423609658
2400168	7429	29096.8109126091	3130.0	3060.0	847.9648839689321	4180.0	1660.0	7.868480214273	0.685012685039255
2500043	7574	30378.344428777695	2930.0	2920.0	432.3835745672534	3600.0	2260.0	8.329147171457228	0.7947110012231129
2600858	7737	31678.908470869064	3306.0	3320.0	925.4932618759457	4720.0	1820.0	8.222896496695913	0.7832535576421611
2700794	7869	32991.83648085594	3636.0	3590.0	635.246233973707	4540.0	2680.0	8.804001192982453	0.7030326991822649
2800013	8014	34256.44283056259	2890.0	2980.0	987.263333102617	4820.0	1440.0	8.774653342967003	0.7412667597150069
2900069	8157	35548.420313596725	3328.0	3500.0	893.9898085424563	4820.0	1840.0	8.258395574171491	0.6824534301587327
3001242	8317	36865.72621011734	3594.0	3310.0	1162.069036006228	5500.0	1680.0	8.782730161240847	0.8106979279283919
3100057	8459	38144.64939904213	3738.0	3810.0	960.067127282717	5180.0	2100.0	8.623741438684894	0.6209584296703679
3200380	8597	39479.049349069595	5108.0	5270.0	744.4132663454562	6060.0	3960.0	9.403218595620416	0.8370777192534844
