steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100035	612	829.8573594093323	172.0	127.5	105.22990702900641	385.0	105.0	0.14313449233503275	0.2783700548400385
200087	1195	1940.1443688869476	150.0	140.0	57.154760664940824	255.0	80.0	0.4260618669704582	0.3386700017526796
300006	1777	3066.604017496109	206.0	182.5	167.24566096347942	515.0	20.0	0.7769590962493638	0.3072373398305948
400148	2336	4209.972348690033	169.0	120.0	144.8907634507229	565.0	75.0	0.7539936832302631	0.35147755301862166
500024	2913	5375.671864748001	220.0	195.0	107.34161458736412	430.0	105.0	1.0166945107231964	0.39200641149910104
600092	3491	6605.356202840805	342.0	310.0	190.68880990299934	620.0	105.0	1.1408172254436038	0.34941740162678087
700007	4058	7801.6649742126465	168.0	165.0	28.106938645110393	210.0	135.0	1.0636795674682766	0.3843145368632728
800105	4617	9057.488516330719	203.5	210.0	97.04094210406474	425.0	80.0	1.2806935122763559	0.3806600253403551
900017	5189	10347.95289683342	251.5	247.5	126.53611693460839	555.0	95.0	1.6285203634867367	0.39378346724483076
1000001	5752	11619.042359352112	216.0	212.5	117.18456477805523	455.0	60.0	1.677160924697931	0.4054928861029267
1100267	6222	12922.757488489151	378.0	382.5	151.97221968358411	685.0	145.0	1.7625561279884343	0.4182619355657299
1200052	6629	14235.460863828659	297.5	277.5	127.1318213509112	540.0	175.0	2.068359602648388	0.47708102488535287
1300061	7030	15540.172989606857	498.5	420.0	269.0523493052359	1180.0	275.0	2.4846836977771263	0.5666259432187747
1400171	7343	16846.57366847992	392.0	322.5	138.32730910577436	655.0	290.0	2.9173992904973383	0.5405573475693285
1500296	7576	18161.13710665703	576.0	587.5	107.38818474218765	760.0	370.0	2.702163742600835	0.5956507571888773
1600329	7783	19476.254625320435	541.0	450.0	231.0339080452622	975.0	305.0	2.9492162463428118	0.6304460652050059
1700032	7948	20798.07398056984	601.0	575.0	177.181639379856	925.0	310.0	3.0087982141370864	0.6591252222108018
1800593	8111	22161.089930057526	696.0	575.0	287.1004469983749	1185.0	390.0	3.314396442240357	0.5958537239655755
