steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100025	582	817.0588564872742	193.5	162.5	129.46578269523144	475.0	30.0	0.606350780687686	0.5453402704742145
200189	1173	1885.5203049182892	135.0	60.0	155.08062419270823	485.0	25.0	1.5638151934546285	0.6145979377922652
300372	1756	2948.420195579529	117.5	92.5	67.13378020374277	230.0	50.0	2.134305124570989	0.5702447324254016
400035	2355	4000.1049506664276	182.0	187.5	80.87026647662292	365.0	80.0	2.2477509480193794	0.5450117375916457
500203	2973	5100.378468513489	121.0	132.5	53.374983736661584	230.0	40.0	2.8757656677481735	0.5865217759472643
600140	3505	6325.587499141693	231.0	190.0	140.6492880260054	475.0	75.0	3.2842114167041467	0.7079941992322242
700373	3893	7552.537664651871	380.5	362.5	120.72581423300579	605.0	230.0	3.4612692402659766	0.7120076439875436
800725	4170	8787.924033403397	475.0	447.5	165.5462338911869	800.0	290.0	3.977881543158914	0.7221004991759995
900258	4347	10006.558511257172	472.5	492.5	132.52358280698573	715.0	305.0	4.5520848255019155	0.6948414424397418
1000629	4487	11240.48989367485	383.0	345.0	104.6210091499578	580.0	265.0	4.7922526159117265	0.6136571999527725
1100419	4622	12496.28794169426	584.5	565.0	225.36944976835014	1095.0	345.0	4.499558030870543	0.5960687233137277
1201086	4748	13760.45214009285	649.0	587.5	173.77827507743564	945.0	395.0	4.471068077409984	0.6260155546582604
1300210	4898	15004.136901378632	643.0	587.5	146.74619056195104	910.0	460.0	4.583949776612265	0.6302381349790275
1400710	5043	16274.946826696396	679.0	585.0	387.8774147702968	1685.0	360.0	5.098200220708248	0.6297766661795804
1500541	5201	17531.44181537628	729.0	600.0	279.8590915284174	1435.0	510.0	4.661037863387956	0.6397811116966707
1600825	5356	18803.331595659256	788.5	742.5	273.01861963365553	1400.0	550.0	4.431289616304563	0.586951498078465
1700889	5513	20058.34190416336	740.5	772.5	126.50098813843313	975.0	545.0	4.412118247263862	0.5577696690571298
1800919	5686	21322.221563339233	729.5	550.0	436.3959084236341	1805.0	465.0	5.378388270034634	0.5570102197897234
1900498	5860	22565.11489701271	614.0	575.0	132.38831771220097	805.0	455.0	5.218649240140006	0.53281741855635
2000116	6025	23810.29016470909	670.0	600.0	150.7757717053152	1000.0	515.0	4.464689722332895	0.5884676191566096
2101384	6182	25070.44545483589	658.0	572.5	221.18619607320284	1230.0	500.0	4.788476890915108	0.6029510327531687
2200273	6358	26303.459992170334	659.0	600.0	204.17585013359877	1205.0	475.0	4.674374608348089	0.6132480780166596
2300008	6542	27546.89954137802	714.0	607.5	254.05380007654549	1375.0	540.0	4.912662488871665	0.5686834864122018
2400457	6714	28813.295558691025	697.5	587.5	228.2207751766307	1200.0	545.0	4.827809537294569	0.5354023441688108
2500846	6868	30073.97842168808	543.5	545.0	111.45626945129646	775.0	320.0	5.221117010131621	0.52627145144213
2600838	7043	31333.536450386047	800.5	600.0	313.5854482168032	1350.0	555.0	5.068234144521644	0.5229917078841019
2700265	7214	32590.430727481842	832.0	790.0	275.4612293751861	1375.0	510.0	5.7600373889827265	0.4864449098704847
2800179	7382	33858.28678607941	923.0	700.0	428.48700226624277	1660.0	525.0	5.473517424102796	0.5047561935703204
2900619	7567	35109.47413444519	621.0	572.5	129.05209972892516	945.0	540.0	5.41760050311546	0.4753728874877506
3000094	7747	36370.05666971207	703.5	562.5	317.66552990352744	1185.0	370.0	5.656644091322369	0.547106934409726
3100204	7931	37631.42766737938	688.0	550.0	322.37142139670715	1375.0	450.0	5.425186963213257	0.5345431952921742
3200709	8105	38904.18716430664	738.0	600.0	457.50045537317953	2030.0	500.0	5.329710212478762	0.48301235618262295
3300373	8280	40171.22493815422	874.5	787.5	297.31623642923444	1270.0	555.0	5.289202898145057	0.45369903853482685
3400046	8451	41420.11516332626	677.0	602.5	140.32106042928837	970.0	530.0	5.307257999730946	0.554976690528157
3500155	8630	42674.648402929306	732.0	600.0	390.4641113114267	1430.0	380.0	5.813540181472493	0.4797626644568506
3600442	8815	43940.26649188995	784.5	600.0	389.974714280013	1630.0	545.0	5.448358851941575	0.5589293926766585
3700121	9000	45197.629539489746	612.0	550.0	260.8660788816957	1230.0	380.0	5.422274115061548	0.4990924775197014
3800278	9168	46461.342581510544	831.0	757.5	264.2788930908659	1375.0	545.0	4.597200001434195	0.4864568797671187
3900958	9343	47739.56373643875	857.0	800.0	280.3192624292681	1375.0	575.0	4.505570336011715	0.4769728818978657
4000353	9533	48984.21331381798	778.0	775.0	222.4260176628025	1175.0	545.0	5.1404272180499255	0.42368603322076054
4100981	9708	50231.94747900963	584.0	585.0	66.5749368923638	745.0	515.0	4.586571191505047	0.417203317393277
4200790	9897	51481.23473215103	742.5	605.0	274.6639360705693	1430.0	545.0	4.262422946025614	0.3915826735929991
