steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100013	595	846.1498863697052	173.0	157.5	122.32016277875951	375.0	35.0	0.35375140112360476	0.2517455224381635
200084	1185	1929.4549205303192	84.0	30.0	87.90145998029081	215.0	5.0	0.7743757987191658	0.361164977903897
300025	1792	3034.228251218796	142.0	127.5	86.41630504585218	280.0	40.0	1.0959564533550357	0.3776757618378162
400471	2375	4167.063668727875	195.5	155.0	117.34209247608749	525.0	135.0	1.4101763104304983	0.4316069083942858
500134	2956	5316.990468978882	206.5	137.5	130.83174096695512	435.0	110.0	1.4621830282022532	0.4152959872410608
600021	3542	6490.655672550201	155.0	182.5	61.95876765147035	210.0	55.0	1.8072268300493506	0.4192183000925145
700119	4131	7690.876715898514	161.5	145.0	50.555250304328766	250.0	80.0	1.8959408551809482	0.49506659558655935
800098	4696	8923.22680592537	181.5	155.0	119.02497403673081	355.0	45.0	2.4533401095095555	0.5090441651354896
900049	5249	10189.523287296295	113.0	115.0	77.43097284391793	280.0	20.0	2.633718736093033	0.49624867141584333
1000090	5666	11511.605740070343	384.5	345.0	202.0650335356857	810.0	165.0	2.432141484977425	0.5170771985695227
1100014	5998	12849.701352357864	472.0	435.0	183.1999514798577	785.0	235.0	2.8156268061489667	0.5602492590706563
1200283	6310	14182.949433326721	379.5	327.5	89.61181717707647	525.0	290.0	3.5906335948856403	0.5898687299117071
1300054	6536	15528.674025535583	608.0	592.5	296.5093215697911	1290.0	320.0	3.6860204861742143	0.6618826101179417
1400261	6719	16877.97853565216	603.0	590.0	150.11477090694456	875.0	410.0	3.7369158922274157	0.5786194884742577
1500696	6900	18216.487906455994	646.5	715.0	195.93153566148217	875.0	395.0	3.8359953482518563	0.5985999285564012
1600892	7060	19564.88473033905	695.0	595.0	237.80243901188229	1180.0	365.0	4.254920678494955	0.6783144402137465
1700280	7219	20919.10362792015	787.5	690.0	312.3944266112598	1290.0	325.0	4.343029590581797	0.6620539263236875
1800357	7382	22276.32442879677	602.0	587.5	127.91490226796182	800.0	440.0	4.1674605654800345	0.6083760834273158
1900279	7548	23609.178421735764	527.0	542.5	195.30887218853002	965.0	280.0	4.580752657587588	0.6102921186379408
2000309	7705	24945.31997203827	296.0	260.0	101.1819043988488	465.0	160.0	5.340178384783968	0.7806286155863248
2100804	7863	26311.092480182648	718.5	602.5	266.5421584331871	1430.0	540.0	4.795180083951416	0.6950153627397797
2200569	8032	27671.18016719818	824.5	702.5	329.80170810149946	1370.0	485.0	5.228844170052218	0.6511416737760998
2300156	8231	29029.548835754395	565.5	562.5	137.32463564690624	885.0	385.0	5.281599550816192	0.6310406106613669
2400216	8431	30395.240151166916	648.0	600.0	309.2931008319167	1380.0	170.0	5.297057526872942	0.6561296975289221
2500559	8655	31782.2021818161	749.0	702.5	263.9318093750732	1245.0	455.0	5.319936211612532	0.6852239094495889
2600031	8846	33159.60294294357	751.0	627.5	294.0691528648775	1430.0	480.0	5.00568394210585	0.7425042571435947
2700499	9038	34528.48695254326	549.5	565.0	162.43716733966193	800.0	310.0	5.7637381025428915	0.7091107122758262
2800199	9246	35896.61960339546	717.5	605.0	249.13461332290933	1205.0	415.0	5.427245595361584	0.7898610303685383
2900361	9461	37273.70200061798	699.5	600.0	306.2175152839345	1545.0	525.0	5.407346558945023	0.7069456792633575
