steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100852	108	851.9912540912628	-20.7	-21.0	0.48304589153964794	-20.0	-21.0	0.1257380662480329	0.2852252357943251
200723	215	1942.1946697235107	-20.8	-21.0	0.4216370213557839	-20.0	-21.0	0.022506235136635633	0.08367045994276814
300695	321	3063.965716123581	-20.8	-21.0	0.4216370213557839	-20.0	-21.0	0.0017195158093732937	0.13411456016507306
400746	422	4196.71958732605	-21.0	-21.0	0.0	-21.0	-21.0	-0.1753562880506996	0.13511384426797865
500372	516	5394.112995862961	-18.0	-18.0	2.5385910352879693	-14.0	-21.0	0.024881733660370733	0.10239392613511512
600299	592	6614.900901556015	-18.9	-19.5	1.911950719959998	-16.0	-21.0	0.025552508714773634	0.12279255480916812
701052	661	7861.669309616089	-20.3	-20.0	0.6749485577105528	-19.0	-21.0	0.04550325124166631	0.12926697903611026
801102	721	9132.966919183731	-19.5	-20.0	1.509230856356236	-17.0	-21.0	0.0797320567519209	0.13337796000183655
901654	774	10444.76806807518	-17.5	-17.0	2.5495097567963922	-13.0	-21.0	0.11346354624560988	0.13092420566742963
1002117	820	11821.628158330917	-16.7	-17.0	1.567021236472421	-15.0	-20.0	0.1369155414191929	0.12337655661057434
1101730	862	13194.745673656464	-16.4	-17.0	2.4129281427805145	-13.0	-21.0	0.14834959238491544	0.1287731691006455
1201137	903	14552.510710000992	-19.2	-20.0	2.1499353995462798	-14.0	-21.0	0.20571724340576822	0.1305577623357702
1300926	942	15977.306794166565	-10.3	-11.0	2.263232692902394	-5.0	-13.0	0.19708762123087367	0.11882859873694132
1401631	981	17428.984681367874	-9.1	-10.0	4.012480529547776	-4.0	-16.0	0.19267113584461068	0.12348240717150945
1500756	1022	18829.496118545532	-14.1	-16.0	4.909175083453431	-2.0	-19.0	0.25475958000556315	0.12324858130288975
1600421	1063	20287.996230363846	-6.4	-6.5	6.44980619863884	3.0	-17.0	0.25505423543184846	0.10405671960614117
1700723	1101	21717.248028755188	-10.0	-11.0	2.9814239699997196	-4.0	-13.0	0.33120519222955225	0.14019288622938114
1801844	1133	23082.541966199875	-16.1	-17.0	4.483302354291979	-8.0	-21.0	0.36664250107560026	0.12267161008538757
1903556	1166	24533.5325653553	-5.1	-1.0	9.445163371329853	5.0	-21.0	0.5756094007937828	0.139662182911079
2000898	1193	25957.83393216133	4.1	3.5	3.8137179293236207	11.0	-3.0	0.6032330401785978	0.13084088190047002
2102610	1222	27410.2694709301	-7.8	-8.5	4.541169697580374	3.0	-14.0	0.5637553970764329	0.11789306287397643
2200296	1247	28911.035324811935	0.0	-2.0	5.57773351022717	9.0	-8.0	0.6730644601224931	0.12760235730168973
2303404	1274	30441.473558664322	-3.6	-4.5	3.062315754094894	4.0	-6.0	0.7411325045198023	0.121208726523088
2400406	1296	31925.78764772415	3.9	4.5	4.280446497997869	10.0	-4.0	0.7361589517804583	0.12736741873034255
2501784	1320	33428.63820886612	5.3	6.0	3.560586718193756	9.0	-3.0	0.8765607512821713	0.13832759882853832
2602360	1344	34947.183812856674	2.1	1.5	2.7264140062238043	7.0	-2.0	0.9340399291420579	0.09846276782020363
2701259	1368	36451.00049710274	4.2	5.0	2.440400695696417	7.0	-1.0	0.9968052392506239	0.13575043385176536
2802547	1393	37965.4745862484	10.1	10.0	2.998147576235848	17.0	7.0	0.9741526892698233	0.09142456556724375
2901553	1417	39465.05971169472	0.3	0.5	4.9899899799498595	10.0	-6.0	0.9265241000343405	0.10965061918019892
3000672	1441	40955.56746292114	8.5	8.0	2.068278940998476	11.0	6.0	1.0376334397338942	0.11339563552797302
3100658	1465	42458.33690547943	10.7	10.5	2.9832867780352594	14.0	5.0	1.0752905015504228	0.10992888242141845
3203020	1490	43958.36074972153	10.5	11.5	3.3416562759605704	15.0	4.0	1.146254387015264	0.09060281489072475
3302368	1515	45460.53960728645	8.4	9.0	2.1186998109427604	12.0	4.0	1.0058461361235622	0.08744484940899099
3401048	1539	46934.45292162895	10.1	10.5	3.414023367751831	15.0	3.0	1.0899589297545178	0.10422049254746808
3500598	1564	48432.00288319588	10.9	11.0	3.2472210341220142	16.0	7.0	1.1684860884459614	0.1103633891762492
3602002	1590	49974.53179240227	7.9	7.0	4.483302354291979	17.0	2.0	1.1274436259417095	0.0995017451798701
3702122	1615	51458.28398728371	11.1	11.0	3.446415206816755	17.0	5.0	1.1302655347409927	0.09173717114459079
3802746	1642	52983.95018362999	9.4	10.5	2.3664319132398464	12.0	5.0	1.1032695784405742	0.09088611077170405
3902999	1668	54503.18963241577	9.3	10.0	2.7908580918579307	13.0	3.0	1.1736160358827892	0.10349493793049748
4001940	1695	55972.64416837692	10.1	9.5	3.784471194529326	16.0	5.0	1.0488485689270606	0.10373882285570434
4101448	1722	57511.05840039253	8.8	8.0	3.73571352696584	16.0	5.0	1.2437799768188942	0.07986712167924304
4201282	1750	59018.98221850395	12.3	12.0	4.083843505544474	18.0	3.0	1.1931573859970521	0.08928280366639935
4302442	1779	60537.06584739685	14.8	14.0	2.7406406388125952	21.0	11.0	1.3032820055567944	0.09407099472010584
