steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
100035	819	878.0644328594208	140.0	160.0	58.87840577551898	260.0	60.0	0.469319580931697	0.10739135632086705
200199	1537	1978.6527330875397	80.0	80.0	21.081851067789195	120.0	40.0	0.8036026575895373	0.18038600811772235
300091	2092	3139.552670240402	412.0	400.0	63.38594306135847	520.0	340.0	1.970444843358471	0.331292564801096
400084	2505	4298.690490484238	228.0	230.0	69.41021378570863	320.0	140.0	2.470075801070351	0.42280196865199926
500381	2962	5493.19464468956	280.0	250.0	144.22205101855957	500.0	100.0	2.9313394662387897	0.5608036994260711
600163	3380	6725.229203224182	378.0	380.0	94.96198069637015	500.0	220.0	3.596823982341784	0.7357862352559436
700044	3781	7971.859273195267	356.0	380.0	113.84199576606166	480.0	140.0	4.437943199105838	0.5173492760306355
800172	4179	9235.314699411392	302.0	260.0	127.69755936064975	520.0	140.0	4.859396637662984	0.7599320591425496
900065	4610	10585.095131158829	690.0	710.0	152.3883926754995	840.0	400.0	4.936476090747634	0.7335412781155812
1000088	4990	11907.996235370636	280.0	290.0	80.0	440.0	180.0	5.3165586984627895	0.7478813744989607
1100270	5424	13267.218855142593	400.0	370.0	120.0	640.0	260.0	5.466150859208404	0.7775364736862692
1200041	5802	14604.93203163147	184.0	170.0	65.18350166176168	300.0	100.0	6.048453203859846	0.8954526316956125
1300017	6211	15931.877331733704	158.0	160.0	38.23901439919997	220.0	100.0	6.520119583674215	0.8778472714428175
1400072	6492	17294.95465683937	380.0	330.0	129.27146286443542	640.0	240.0	6.719453253173711	1.0021074765011633
1500617	6857	18655.86661863327	342.0	370.0	122.00182148002727	520.0	160.0	6.55134863791175	0.6754921565668798
1600354	7220	20020.099186182022	472.0	450.0	250.72339783558738	880.0	140.0	6.668669282337134	0.965816941560313
1700344	7488	21402.97765827179	774.0	790.0	194.14771009036738	1040.0	340.0	6.552801154073668	0.9671208395212242
1800197	7731	22764.686991930008	298.0	310.0	145.8918930045273	520.0	120.0	6.760329595064971	0.835397083508085
1900269	7975	24173.769380569458	1180.0	1210.0	244.94897427831782	1580.0	880.0	6.922978693836242	0.7431566655293551
2000198	8206	25573.782480478287	908.0	910.0	321.5517929596344	1460.0	520.0	7.07688848995153	0.7095937260614225
2100052	8425	26979.58349633217	924.0	860.0	363.7825968594124	1740.0	500.0	7.16705918763963	1.0745185824785233
2200180	8631	28404.977740049362	1352.0	1470.0	355.42775480945335	1720.0	540.0	7.151509476279746	0.7037739390201432
2300470	8817	29844.902657032013	1718.0	1620.0	302.20669894773823	2220.0	1340.0	7.314902108292908	0.9555359816355291
2400001	8998	31283.26075053215	2024.0	2040.0	786.9378063806003	3320.0	1000.0	7.409509143673324	0.7866663296546835
2500054	9184	32747.795718431473	2824.0	3000.0	665.5190121668618	3980.0	1760.0	7.034470667276819	0.8594995851763041
2600183	9357	34218.894970178604	2970.0	2910.0	648.8451279003334	3760.0	2140.0	7.2670545030530995	0.9150359246641563
2700335	9515	35676.55402326584	2578.0	2560.0	605.9299556146	3580.0	1560.0	7.191414451951598	0.7877952177467304
2800941	9677	37152.57080411911	2828.0	2560.0	1127.206971037509	5420.0	1800.0	5.500873268670228	0.756085849478322
2900163	9856	38574.65710687637	1312.0	1460.0	491.0035075683721	1880.0	460.0	7.9995036933674415	1.0523678551719808
3000587	10017	40029.628145456314	2300.0	2320.0	616.0086579478138	3180.0	1340.0	8.260906466860693	1.0359215865242992
